,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,octave,note_value,note_value_nmd,note_name,angle
28,9.0,,,,42.0,,,,,192,note_on,,112.0,42.0,112.0,192,0.5,192,3.0,6.0,6,F#,180
30,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,288,0.75,192,3.0,6.0,6,F#,180
32,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,384,1.0,192,3.0,6.0,6,F#,180
34,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,480,1.25,192,3.0,6.0,6,F#,180
36,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,576,1.5,192,3.0,6.0,6,F#,180
38,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,672,1.75,192,3.0,6.0,6,F#,180
3273,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,768,2.0,192,4.0,11.0,5,F,330
3272,0.0,,,,62.0,,,,,768,note_on,,100.0,62.0,100.0,768,2.0,192,5.0,2.0,2,D,60
3274,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,768,2.0,192,4.0,7.0,1,C#,210
3280,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,864,2.25,192,4.0,11.0,5,F,330
3281,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,864,2.25,192,4.0,7.0,1,C#,210
3279,0.0,,,,62.0,,,,,52,note_on,,100.0,62.0,100.0,864,2.25,192,5.0,2.0,2,D,60
9938,3.0,,,,71.0,,,,,960,note_on,,88.0,71.0,88.0,960,2.5,192,5.0,11.0,5,F,330
10316,8.0,,,,71.0,,,,,960,note_on,,88.0,71.0,88.0,960,2.5,192,5.0,11.0,5,F,330
3287,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,960,2.5,192,4.0,7.0,1,C#,210
3285,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,960,2.5,192,4.0,11.0,5,F,330
3286,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,960,2.5,192,5.0,2.0,2,D,60
10318,8.0,,,,67.0,,,,,4,note_on,,88.0,67.0,88.0,1008,2.625,192,5.0,7.0,1,C#,210
9940,3.0,,,,67.0,,,,,4,note_on,,88.0,67.0,88.0,1008,2.625,192,5.0,7.0,1,C#,210
3292,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,1056,2.75,192,5.0,2.0,2,D,60
3293,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,1056,2.75,192,4.0,7.0,1,C#,210
3291,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,1056,2.75,192,4.0,11.0,5,F,330
9942,3.0,,,,79.0,,,,,52,note_on,,88.0,79.0,88.0,1104,2.875,192,6.0,7.0,1,C#,210
