,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
3316,3.0,,,,,,,48.0,,,,0,note_on,,70.0,48.0,70.0,0,0.0,120,3.0_0.0,Acoustic Guitar (nylon),4.0,0.0,0,C,0
8067,4.0,,,,,,,48.0,,,,0,note_on,,76.0,48.0,76.0,0,0.0,120,4.0_0.0,Acoustic Bass,4.0,0.0,0,C,0
2759,2.0,,,,,,,48.0,,,,0,note_on,,76.0,48.0,76.0,0,0.0,120,2.0_0.0,Acoustic Grand Piano,4.0,0.0,0,C,0
846,1.0,,,,,,,64.0,,,,0,note_on,,70.0,64.0,70.0,0,0.0,120,1.0_0.0,Acoustic Grand Piano,5.0,4.0,4,E,120
3317,3.0,,,,,,,52.0,,,,4,note_on,,70.0,52.0,70.0,4,0.016666666666666666,120,3.0_0.0,Acoustic Guitar (nylon),4.0,4.0,4,E,120
3318,3.0,,,,,,,55.0,,,,1,note_on,,70.0,55.0,70.0,5,0.020833333333333332,120,3.0_0.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
3319,3.0,,,,,,,60.0,,,,1,note_on,,70.0,60.0,70.0,6,0.025,120,3.0_0.0,Acoustic Guitar (nylon),5.0,0.0,0,C,0
3320,3.0,,,,,,,64.0,,,,1,note_on,,70.0,64.0,70.0,7,0.029166666666666667,120,3.0_0.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
847,1.0,,,,,,,55.0,,,,60,note_on,,70.0,55.0,70.0,60,0.25,120,1.0_0.0,Acoustic Grand Piano,4.0,7.0,1,C#,210
3324,3.0,,,,,,,55.0,,,,0,note_on,,70.0,55.0,70.0,120,0.5,120,3.0_0.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
849,1.0,,,,,,,60.0,,,,0,note_on,,70.0,60.0,70.0,120,0.5,120,1.0_0.0,Acoustic Grand Piano,5.0,0.0,0,C,0
3325,3.0,,,,,,,60.0,,,,4,note_on,,70.0,60.0,70.0,124,0.5166666666666666,120,3.0_0.0,Acoustic Guitar (nylon),5.0,0.0,0,C,0
3326,3.0,,,,,,,64.0,,,,3,note_on,,70.0,64.0,70.0,127,0.5291666666666667,120,3.0_0.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
853,1.0,,,,,,,67.0,,,,0,note_on,,70.0,67.0,70.0,180,0.75,120,1.0_0.0,Acoustic Grand Piano,5.0,7.0,1,C#,210
852,1.0,,,,,,,55.0,,,,0,note_on,,70.0,55.0,70.0,180,0.75,120,1.0_0.0,Acoustic Grand Piano,4.0,7.0,1,C#,210
3332,3.0,,,,,,,48.0,,,,0,note_on,,70.0,48.0,70.0,180,0.75,120,3.0_0.0,Acoustic Guitar (nylon),4.0,0.0,0,C,0
3333,3.0,,,,,,,52.0,,,,4,note_on,,70.0,52.0,70.0,184,0.7666666666666666,120,3.0_0.0,Acoustic Guitar (nylon),4.0,4.0,4,E,120
3334,3.0,,,,,,,55.0,,,,1,note_on,,70.0,55.0,70.0,185,0.7708333333333334,120,3.0_0.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
3335,3.0,,,,,,,60.0,,,,1,note_on,,70.0,60.0,70.0,186,0.775,120,3.0_0.0,Acoustic Guitar (nylon),5.0,0.0,0,C,0
3336,3.0,,,,,,,64.0,,,,1,note_on,,70.0,64.0,70.0,187,0.7791666666666667,120,3.0_0.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
854,1.0,,,,,,,64.0,,,,60,note_on,,70.0,64.0,70.0,240,1.0,120,1.0_0.0,Acoustic Grand Piano,5.0,4.0,4,E,120
856,1.0,,,,,,,60.0,,,,0,note_on,,70.0,60.0,70.0,300,1.25,120,1.0_0.0,Acoustic Grand Piano,5.0,0.0,0,C,0
3340,3.0,,,,,,,55.0,,,,0,note_on,,70.0,55.0,70.0,300,1.25,120,3.0_0.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
2761,2.0,,,,,,,47.0,,,,0,note_on,,76.0,47.0,76.0,300,1.25,120,2.0_0.0,Acoustic Grand Piano,3.0,11.0,5,F,330
3341,3.0,,,,,,,60.0,,,,4,note_on,,70.0,60.0,70.0,304,1.2666666666666666,120,3.0_0.0,Acoustic Guitar (nylon),5.0,0.0,0,C,0
8069,4.0,,,,,,,47.0,,,,5,note_on,,76.0,47.0,76.0,305,1.2708333333333333,120,4.0_0.0,Acoustic Bass,3.0,11.0,5,F,330
3342,3.0,,,,,,,64.0,,,,3,note_on,,70.0,64.0,70.0,307,1.2791666666666666,120,3.0_0.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
3348,3.0,,,,,,,45.0,,,,0,note_on,,70.0,45.0,70.0,360,1.5,120,3.0_0.0,Acoustic Guitar (nylon),3.0,9.0,3,D#,270
860,1.0,,,,,,,64.0,,,,0,note_on,,70.0,64.0,70.0,360,1.5,120,1.0_0.0,Acoustic Grand Piano,5.0,4.0,4,E,120
2763,2.0,,,,,,,45.0,,,,0,note_on,,76.0,45.0,76.0,360,1.5,120,2.0_0.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
3349,3.0,,,,,,,52.0,,,,2,note_on,,70.0,52.0,70.0,362,1.5083333333333333,120,3.0_0.0,Acoustic Guitar (nylon),4.0,4.0,4,E,120
