,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
503,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,0,0.0,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
543,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,240,0.25,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
583,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,480,0.5,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
623,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,720,0.75,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
669,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,960,1.0,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
709,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,1200,1.25,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
749,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,1440,1.5,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
3363,2.0,,,,,,40.0,,,,,,1440,note_on,,95.0,40.0,95.0,1440,1.5,480,2.0_0.0,Lead 2 (sawtooth),3.0,4.0,4,E,120
3365,2.0,,,,,,42.0,,,,,,0,note_on,,95.0,42.0,95.0,1520,1.5833333333333333,480,2.0_0.0,Lead 2 (sawtooth),3.0,6.0,6,F#,180
3367,2.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,1600,1.6666666666666667,480,2.0_0.0,Lead 2 (sawtooth),3.0,7.0,1,C#,210
789,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,1680,1.75,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
3369,2.0,,,,,,45.0,,,,,,0,note_on,,95.0,45.0,95.0,1680,1.75,480,2.0_0.0,Lead 2 (sawtooth),3.0,9.0,3,D#,270
3371,2.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,1800,1.875,480,2.0_0.0,Lead 2 (sawtooth),3.0,11.0,5,F,330
3532,9.0,,,,,,36.0,,,,,,0,note_on,,127.0,36.0,127.0,1920,2.0,480,9.0_0.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3531,9.0,,,,,,35.0,,,,,,1920,note_on,,127.0,35.0,127.0,1920,2.0,480,9.0_0.0,Acoustic Grand Piano,2.0,11.0,5,F,330
1177,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,1920,2.0,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
65,0.0,,,,,,52.0,,,,,,1920,note_on,,76.0,52.0,76.0,1920,2.0,480,0.0_0.0,Distortion Guitar,4.0,4.0,4,E,120
3373,2.0,,,,,,42.0,,,,,,0,note_on,,95.0,42.0,95.0,1920,2.0,480,2.0_0.0,Lead 2 (sawtooth),3.0,6.0,6,F#,180
67,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,1920,2.0,480,0.0_0.0,Distortion Guitar,3.0,4.0,4,E,120
66,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,1920,2.0,480,0.0_0.0,Distortion Guitar,3.0,11.0,5,F,330
1217,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,2160,2.25,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
1257,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,2400,2.5,480,1.0_0.0,Distortion Guitar,4.0,7.0,1,C#,210
3535,9.0,,,,,,35.0,,,,,,0,note_on,,127.0,35.0,127.0,2400,2.5,480,9.0_0.0,Acoustic Grand Piano,2.0,11.0,5,F,330
3536,9.0,,,,,,36.0,,,,,,0,note_on,,127.0,36.0,127.0,2400,2.5,480,9.0_0.0,Acoustic Grand Piano,3.0,0.0,0,C,0
