,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
133,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,0,0.0,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
134,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,0,0.0,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
2212,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,0,0.0,480,4.0_0.0,Electric Bass (pick),3.0,4.0,4,E,120
135,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,0,0.0,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
1838,2.0,,,,,,75.0,,,,,50,note_on,,95.0,75.0,95.0,50,0.052083333333333336,480,2.0_0.0,Distortion Guitar,6.0,3.0,9,A,90
1858,2.0,,,,,,76.0,,,,,50,note_on,,95.0,76.0,95.0,129,0.134375,480,2.0_0.0,Distortion Guitar,6.0,4.0,4,E,120
1918,2.0,,,,,,75.0,,,,,50,note_on,,95.0,75.0,95.0,208,0.21666666666666667,480,2.0_0.0,Distortion Guitar,6.0,3.0,9,A,90
192,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,240,0.25,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
191,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,240,0.25,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
190,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,240,0.25,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
1985,2.0,,,,,,75.0,,,,,50,note_on,,95.0,75.0,95.0,287,0.2989583333333333,480,2.0_0.0,Distortion Guitar,6.0,3.0,9,A,90
2005,2.0,,,,,,76.0,,,,,50,note_on,,95.0,76.0,95.0,366,0.38125,480,2.0_0.0,Distortion Guitar,6.0,4.0,4,E,120
2072,2.0,,,,,,75.0,,,,,50,note_on,,95.0,75.0,95.0,445,0.4635416666666667,480,2.0_0.0,Distortion Guitar,6.0,3.0,9,A,90
261,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,480,0.5,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
259,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,480,0.5,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
260,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,480,0.5,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
2092,2.0,,,,,,76.0,,,,,50,note_on,,95.0,76.0,95.0,524,0.5458333333333333,480,2.0_0.0,Distortion Guitar,6.0,4.0,4,E,120
2152,2.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,553,0.5760416666666667,480,2.0_0.0,Distortion Guitar,3.0,7.0,1,C#,210
317,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,720,0.75,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
318,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,720,0.75,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
2214,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,720,0.75,480,4.0_0.0,Electric Bass (pick),3.0,4.0,4,E,120
316,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,720,0.75,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
2154,2.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,793,0.8260416666666667,480,2.0_0.0,Distortion Guitar,3.0,7.0,1,C#,210
573,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,960,1.0,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
2216,4.0,,,,,,43.0,,,,,120,note_on,,95.0,43.0,95.0,960,1.0,480,4.0_0.0,Electric Bass (pick),3.0,7.0,1,C#,210
574,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,960,1.0,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
575,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,960,1.0,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
2156,2.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,1033,1.0760416666666666,480,2.0_0.0,Distortion Guitar,3.0,7.0,1,C#,210
631,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,1200,1.25,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
632,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,1200,1.25,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
630,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,1200,1.25,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
