,channel,clocks_per_click,control,denominator,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
84,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,0,0.0,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3154,2.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,0,0.0,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
89,1.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,180,0.09375,960,1.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
92,1.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,180,0.09375,960,1.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
3162,3.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,180,0.09375,960,3.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
3159,3.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,180,0.09375,960,3.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
86,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,240,0.125,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3156,2.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,240,0.125,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
88,0.0,,,,,39.0,,,,,240,note_on,,95.0,39.0,95.0,720,0.375,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3158,2.0,,,,,39.0,,,,,240,note_on,,95.0,39.0,95.0,720,0.375,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3166,2.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,780,0.40625,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3163,2.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,780,0.40625,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
96,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,780,0.40625,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
93,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,780,0.40625,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
119,1.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,840,0.4375,960,1.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
122,1.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,840,0.4375,960,1.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
3189,3.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,840,0.4375,960,3.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
3192,3.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,840,0.4375,960,3.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
98,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,1020,0.53125,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3168,2.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,1020,0.53125,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
149,1.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,1500,0.78125,960,1.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
100,0.0,,,,,39.0,,,,,240,note_on,,95.0,39.0,95.0,1500,0.78125,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
152,1.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,1500,0.78125,960,1.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
3170,2.0,,,,,39.0,,,,,240,note_on,,95.0,39.0,95.0,1500,0.78125,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3222,3.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,1500,0.78125,960,3.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
3219,3.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,1500,0.78125,960,3.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
102,0.0,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,1740,0.90625,960,0.0_0.0,Distortion Guitar,4.0,11.0,5,F,330
3173,2.0,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,1740,0.90625,960,2.0_0.0,Distortion Guitar,4.0,4.0,4,E,120
103,0.0,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,1740,0.90625,960,0.0_0.0,Distortion Guitar,4.0,4.0,4,E,120
3172,2.0,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,1740,0.90625,960,2.0_0.0,Distortion Guitar,4.0,11.0,5,F,330
179,1.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,2160,1.125,960,1.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
3252,3.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,2160,1.125,960,3.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
182,1.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,2160,1.125,960,1.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
3249,3.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,2160,1.125,960,3.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
3176,2.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,2220,1.15625,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
106,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,2220,1.15625,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3178,2.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,2460,1.28125,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
108,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,2460,1.28125,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3180,2.0,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,2700,1.40625,960,2.0_0.0,Distortion Guitar,4.0,9.0,3,D#,270
111,0.0,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,2700,1.40625,960,0.0_0.0,Distortion Guitar,4.0,2.0,2,D,60
110,0.0,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,2700,1.40625,960,0.0_0.0,Distortion Guitar,4.0,9.0,3,D#,270
3181,2.0,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,2700,1.40625,960,2.0_0.0,Distortion Guitar,4.0,2.0,2,D,60
3279,3.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,2820,1.46875,960,3.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
3282,3.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,2820,1.46875,960,3.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
209,1.0,,,,,49.0,,,,,180,note_on,,95.0,49.0,95.0,2820,1.46875,960,1.0_0.0,Distortion Guitar,4.0,1.0,7,G,30
212,1.0,,,,,51.0,,,,,0,note_on,,95.0,51.0,95.0,2820,1.46875,960,1.0_0.0,Distortion Guitar,4.0,3.0,9,A,90
114,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,3180,1.65625,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
3184,2.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,3180,1.65625,960,2.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
116,0.0,,,,,39.0,,,,,0,note_on,,95.0,39.0,95.0,3420,1.78125,960,0.0_0.0,Distortion Guitar,3.0,3.0,9,A,90
