,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
8,0.0,,,,,,76.0,,,,0,note_on,,64.0,76.0,64.0,0,0.0,96,0.0_0.0,Electric Guitar (jazz),6.0,4.0,4,E,120
1240,2.0,,,,,,50.0,,,,0,note_on,,64.0,50.0,64.0,0,0.0,96,2.0_0.0,Electric Guitar (jazz),4.0,2.0,2,D,60
1828,9.0,,,,,,42.0,,,,0,note_on,,96.0,42.0,96.0,0,0.0,96,9.0_0.0,Acoustic Grand Piano,3.0,6.0,6,F#,180
612,1.0,,,,,,66.0,,,,0,note_on,,64.0,66.0,64.0,0,0.0,96,1.0_0.0,Electric Guitar (jazz),5.0,6.0,6,F#,180
10,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,24,0.125,96,0.0_0.0,Electric Guitar (jazz),6.0,4.0,4,E,120
1242,2.0,,,,,,50.0,,,,8,note_on,,64.0,50.0,64.0,24,0.125,96,2.0_0.0,Electric Guitar (jazz),4.0,2.0,2,D,60
614,1.0,,,,,,66.0,,,,8,note_on,,64.0,66.0,64.0,24,0.125,96,1.0_0.0,Electric Guitar (jazz),5.0,6.0,6,F#,180
1830,9.0,,,,,,42.0,,,,16,note_on,,96.0,42.0,96.0,48,0.25,96,9.0_0.0,Acoustic Grand Piano,3.0,6.0,6,F#,180
616,1.0,,,,,,66.0,,,,32,note_on,,64.0,66.0,64.0,72,0.375,96,1.0_0.0,Electric Guitar (jazz),5.0,6.0,6,F#,180
1244,2.0,,,,,,50.0,,,,32,note_on,,64.0,50.0,64.0,72,0.375,96,2.0_0.0,Electric Guitar (jazz),4.0,2.0,2,D,60
12,0.0,,,,,,76.0,,,,32,note_on,,64.0,76.0,64.0,72,0.375,96,0.0_0.0,Electric Guitar (jazz),6.0,4.0,4,E,120
1832,9.0,,,,,,42.0,,,,8,note_on,,96.0,42.0,96.0,72,0.375,96,9.0_0.0,Acoustic Grand Piano,3.0,6.0,6,F#,180
618,1.0,,,,,,66.0,,,,32,note_on,,64.0,66.0,64.0,120,0.625,96,1.0_0.0,Electric Guitar (jazz),5.0,6.0,6,F#,180
1246,2.0,,,,,,50.0,,,,32,note_on,,64.0,50.0,64.0,120,0.625,96,2.0_0.0,Electric Guitar (jazz),4.0,2.0,2,D,60
1834,9.0,,,,,,42.0,,,,16,note_on,,96.0,42.0,96.0,120,0.625,96,9.0_0.0,Acoustic Grand Piano,3.0,6.0,6,F#,180
14,0.0,,,,,,72.0,,,,32,note_on,,64.0,72.0,64.0,120,0.625,96,0.0_0.0,Electric Guitar (jazz),6.0,0.0,0,C,0
16,0.0,,,,,,76.0,,,,8,note_on,,64.0,76.0,64.0,144,0.75,96,0.0_0.0,Electric Guitar (jazz),6.0,4.0,4,E,120
620,1.0,,,,,,66.0,,,,8,note_on,,64.0,66.0,64.0,144,0.75,96,1.0_0.0,Electric Guitar (jazz),5.0,6.0,6,F#,180
