,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
230,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,35,0.036458333333333336,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
229,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,70,0.07291666666666667,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
252,14.0,,,,,,,,,,,,43.0,,,,,,,40,note_on,,60.0,43.0,60.0,110,0.11458333333333333,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
253,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,110,0.11458333333333333,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
234,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,115,0.11979166666666667,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
236,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,195,0.203125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
261,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,270,0.28125,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
238,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,275,0.2864583333333333,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
285,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,310,0.3229166666666667,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
284,14.0,,,,,,,,,,,,43.0,,,,,,,40,note_on,,60.0,43.0,60.0,310,0.3229166666666667,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
242,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,315,0.328125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
228,13.0,,,,,,,,,,,,55.0,,,,,,,260,note_on,,60.0,55.0,60.0,330,0.34375,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
303,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,350,0.3645833333333333,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
294,14.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,350,0.3645833333333333,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
326,14.0,,,,,,,,,,,,43.0,,,,,,,40,note_on,,60.0,43.0,60.0,390,0.40625,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
327,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,390,0.40625,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
246,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,395,0.4114583333333333,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
248,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,475,0.4947916666666667,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
376,0.0,,,,,,,,,,,,72.0,,,,,,,40,note_on,,60.0,72.0,60.0,515,0.5364583333333334,480,0.0_0.0,Flute,6.0,0.0,0,C,0
241,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,530,0.5520833333333334,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
240,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,530,0.5520833333333334,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
335,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,550,0.5729166666666666,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
250,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,555,0.578125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
396,0.0,,,,,,,,,,,,71.0,,,,,,,0,note_on,,60.0,71.0,60.0,555,0.578125,480,0.0_0.0,Flute,5.0,11.0,5,F,330
401,0.0,,,,,,,,,,,,72.0,,,,,,,0,note_on,,60.0,72.0,60.0,585,0.609375,480,0.0_0.0,Flute,6.0,0.0,0,C,0
359,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,590,0.6145833333333334,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
358,14.0,,,,,,,,,,,,43.0,,,,,,,40,note_on,,60.0,43.0,60.0,590,0.6145833333333334,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
