,channel,angle,note_midi_value,octave,note_name,prior_midi_note,prior_octave,prior_note_name,edge_count
0,0.0,0,60.0,5.0,C,60.0,5.0,C,5
1,0.0,0,60.0,5.0,C,62.0,5.0,D,5
2,0.0,0,72.0,6.0,C,67.0,5.0,C#,5
3,0.0,0,72.0,6.0,C,69.0,5.0,D#,5
4,0.0,0,72.0,6.0,C,72.0,6.0,C,20
5,0.0,0,72.0,6.0,C,74.0,6.0,D,10
6,0.0,60,62.0,5.0,D,64.0,5.0,E,5
7,0.0,60,74.0,6.0,D,72.0,6.0,C,10
8,0.0,60,74.0,6.0,D,74.0,6.0,D,20
9,0.0,60,74.0,6.0,D,76.0,6.0,E,5
10,0.0,120,64.0,5.0,E,64.0,5.0,E,10
11,0.0,120,64.0,5.0,E,65.0,5.0,B,5
12,0.0,120,64.0,5.0,E,67.0,5.0,C#,10
13,0.0,120,64.0,5.0,E,69.0,5.0,D#,5
14,0.0,120,64.0,5.0,E,72.0,6.0,C,5
15,0.0,120,76.0,6.0,E,74.0,6.0,D,5
16,0.0,120,76.0,6.0,E,76.0,6.0,E,10
17,0.0,150,65.0,5.0,B,64.0,5.0,E,5
18,0.0,150,65.0,5.0,B,67.0,5.0,C#,5
19,0.0,210,55.0,4.0,C#,60.0,5.0,C,4
20,0.0,210,55.0,4.0,C#,67.0,5.0,C#,5
21,0.0,210,67.0,5.0,C#,55.0,4.0,C#,10
22,0.0,210,67.0,5.0,C#,64.0,5.0,E,15
23,0.0,210,67.0,5.0,C#,65.0,5.0,B,5
24,0.0,210,67.0,5.0,C#,67.0,5.0,C#,70
25,0.0,210,67.0,5.0,C#,69.0,5.0,D#,20
26,0.0,210,67.0,5.0,C#,71.0,5.0,F,5
27,0.0,270,69.0,5.0,D#,67.0,5.0,C#,30
28,0.0,270,69.0,5.0,D#,69.0,5.0,D#,65
29,0.0,270,69.0,5.0,D#,72.0,6.0,C,5
30,0.0,330,71.0,5.0,F,69.0,5.0,D#,5
31,1.0,0,48.0,4.0,C,62.0,5.0,D,1
32,1.0,0,48.0,4.0,C,65.0,5.0,B,5
33,1.0,0,60.0,5.0,C,48.0,4.0,C,1
34,1.0,0,60.0,5.0,C,55.0,4.0,C#,32
35,1.0,0,60.0,5.0,C,57.0,4.0,D#,71
36,1.0,0,60.0,5.0,C,60.0,5.0,C,10
37,1.0,0,60.0,5.0,C,64.0,5.0,E,63
38,1.0,0,60.0,5.0,C,65.0,5.0,B,30
39,1.0,60,50.0,4.0,D,71.0,5.0,F,5
40,1.0,60,62.0,5.0,D,53.0,4.0,B,5
41,1.0,60,62.0,5.0,D,59.0,4.0,F,30
42,1.0,60,62.0,5.0,D,60.0,5.0,C,5
43,1.0,60,62.0,5.0,D,67.0,5.0,C#,20
44,1.0,120,52.0,4.0,E,57.0,4.0,D#,5
45,1.0,120,64.0,5.0,E,55.0,4.0,C#,5
46,1.0,120,64.0,5.0,E,59.0,4.0,F,10
47,1.0,120,64.0,5.0,E,60.0,5.0,C,45
48,1.0,120,64.0,5.0,E,62.0,5.0,D,14
49,1.0,120,64.0,5.0,E,64.0,5.0,E,5
50,1.0,120,64.0,5.0,E,67.0,5.0,C#,37
51,1.0,120,64.0,5.0,E,69.0,5.0,D#,31
52,1.0,150,53.0,4.0,B,48.0,4.0,C,5
53,1.0,150,65.0,5.0,B,60.0,5.0,C,30
54,1.0,150,65.0,5.0,B,64.0,5.0,E,5
55,1.0,150,65.0,5.0,B,69.0,5.0,D#,30
56,1.0,210,55.0,4.0,C#,50.0,4.0,D,5
57,1.0,210,55.0,4.0,C#,60.0,5.0,C,32
58,1.0,210,55.0,4.0,C#,64.0,5.0,E,32
59,1.0,210,67.0,5.0,C#,55.0,4.0,C#,32
60,1.0,210,67.0,5.0,C#,60.0,5.0,C,20
61,1.0,210,67.0,5.0,C#,62.0,5.0,D,10
62,1.0,210,67.0,5.0,C#,64.0,5.0,E,1
63,1.0,210,67.0,5.0,C#,71.0,5.0,F,25
64,1.0,270,57.0,4.0,D#,52.0,4.0,E,5
65,1.0,270,57.0,4.0,D#,60.0,5.0,C,61
66,1.0,270,57.0,4.0,D#,64.0,5.0,E,36
67,1.0,270,57.0,4.0,D#,65.0,5.0,B,30
68,1.0,270,57.0,4.0,D#,69.0,5.0,D#,5
69,1.0,270,69.0,5.0,D#,57.0,4.0,D#,61
70,1.0,270,69.0,5.0,D#,60.0,5.0,C,5
71,1.0,330,59.0,4.0,F,62.0,5.0,D,30
72,1.0,330,59.0,4.0,F,64.0,5.0,E,5
73,1.0,330,59.0,4.0,F,67.0,5.0,C#,30
74,1.0,330,71.0,5.0,F,59.0,4.0,F,25
75,1.0,330,71.0,5.0,F,62.0,5.0,D,5
76,2.0,0,48.0,4.0,C,45.0,3.0,D#,5
77,2.0,0,48.0,4.0,C,47.0,3.0,F,27
78,2.0,0,48.0,4.0,C,67.0,5.0,C#,1
79,2.0,120,40.0,3.0,E,47.0,3.0,F,5
80,2.0,120,52.0,4.0,E,45.0,3.0,D#,5
81,2.0,150,41.0,3.0,B,45.0,3.0,D#,15
82,2.0,150,41.0,3.0,B,47.0,3.0,F,20
83,2.0,210,43.0,3.0,C#,41.0,3.0,B,5
84,2.0,210,43.0,3.0,C#,45.0,3.0,D#,10
85,2.0,210,43.0,3.0,C#,47.0,3.0,F,15
86,2.0,270,45.0,3.0,D#,41.0,3.0,B,30
87,2.0,270,45.0,3.0,D#,43.0,3.0,C#,5
88,2.0,270,45.0,3.0,D#,45.0,3.0,D#,10
89,2.0,270,45.0,3.0,D#,47.0,3.0,F,26
90,2.0,270,45.0,3.0,D#,52.0,4.0,E,5
91,2.0,330,47.0,3.0,F,40.0,3.0,E,5
92,2.0,330,47.0,3.0,F,43.0,3.0,C#,25
93,2.0,330,47.0,3.0,F,45.0,3.0,D#,31
94,2.0,330,47.0,3.0,F,48.0,4.0,C,32
95,3.0,0,48.0,4.0,C,48.0,4.0,C,1
96,3.0,0,48.0,4.0,C,57.0,4.0,D#,65
97,3.0,0,48.0,4.0,C,64.0,5.0,E,45
98,3.0,0,48.0,4.0,C,65.0,5.0,B,5
99,3.0,0,48.0,4.0,C,67.0,5.0,C#,16
100,3.0,0,60.0,5.0,C,48.0,4.0,C,65
101,3.0,0,60.0,5.0,C,55.0,4.0,C#,133
102,3.0,0,60.0,5.0,C,57.0,4.0,D#,229
103,3.0,0,60.0,5.0,C,64.0,5.0,E,5
104,3.0,60,50.0,4.0,D,47.0,3.0,F,55
105,3.0,120,40.0,3.0,E,64.0,5.0,E,5
106,3.0,120,40.0,3.0,E,67.0,5.0,C#,5
107,3.0,120,52.0,4.0,E,45.0,3.0,D#,82
108,3.0,120,52.0,4.0,E,47.0,3.0,F,10
109,3.0,120,52.0,4.0,E,48.0,4.0,C,67
110,3.0,120,64.0,5.0,E,59.0,4.0,F,20
111,3.0,120,64.0,5.0,E,60.0,5.0,C,297
112,3.0,120,64.0,5.0,E,64.0,5.0,E,5
113,3.0,150,41.0,3.0,B,64.0,5.0,E,25
114,3.0,150,41.0,3.0,B,65.0,5.0,B,40
115,3.0,150,65.0,5.0,B,60.0,5.0,C,130
116,3.0,210,43.0,3.0,C#,64.0,5.0,E,15
117,3.0,210,43.0,3.0,C#,65.0,5.0,B,15
118,3.0,210,43.0,3.0,C#,67.0,5.0,C#,25
119,3.0,210,55.0,4.0,C#,50.0,4.0,D,55
120,3.0,210,55.0,4.0,C#,52.0,4.0,E,77
121,3.0,210,55.0,4.0,C#,55.0,4.0,C#,1
