,channel,angle,note_midi_value,octave,note_name,prior_midi_note,prior_octave,prior_note_name,edge_count
0,0.0,0,48.0,4.0,C,39.0,3.0,A,6
1,0.0,0,48.0,4.0,C,40.0,3.0,E,7
2,0.0,0,48.0,4.0,C,41.0,3.0,B,8
3,0.0,0,48.0,4.0,C,42.0,3.0,F#,16
4,0.0,0,48.0,4.0,C,45.0,3.0,D#,3
5,0.0,0,48.0,4.0,C,49.0,4.0,G,4
6,0.0,0,48.0,4.0,C,55.0,4.0,C#,2
7,0.0,0,60.0,5.0,C,39.0,3.0,A,7
8,0.0,0,60.0,5.0,C,54.0,4.0,F#,6
9,0.0,30,49.0,4.0,G,39.0,3.0,A,29
10,0.0,30,49.0,4.0,G,41.0,3.0,B,12
11,0.0,30,49.0,4.0,G,43.0,3.0,C#,2
12,0.0,30,49.0,4.0,G,50.0,4.0,D,7
13,0.0,30,49.0,4.0,G,53.0,4.0,B,2
14,0.0,30,61.0,5.0,G,39.0,3.0,A,13
15,0.0,60,50.0,4.0,D,44.0,3.0,G#,2
16,0.0,60,50.0,4.0,D,53.0,4.0,B,7
17,0.0,60,50.0,4.0,D,57.0,4.0,D#,26
18,0.0,90,39.0,3.0,A,39.0,3.0,A,466
19,0.0,90,39.0,3.0,A,40.0,3.0,E,4
20,0.0,90,39.0,3.0,A,41.0,3.0,B,6
21,0.0,90,39.0,3.0,A,42.0,3.0,F#,25
22,0.0,90,39.0,3.0,A,44.0,3.0,G#,2
23,0.0,90,39.0,3.0,A,45.0,3.0,D#,8
24,0.0,90,39.0,3.0,A,46.0,3.0,A#,5
25,0.0,90,39.0,3.0,A,48.0,4.0,C,8
26,0.0,90,39.0,3.0,A,50.0,4.0,D,26
27,0.0,90,39.0,3.0,A,51.0,4.0,A,52
28,0.0,90,39.0,3.0,A,52.0,4.0,E,28
29,0.0,90,39.0,3.0,A,53.0,4.0,B,7
30,0.0,90,39.0,3.0,A,54.0,4.0,F#,15
31,0.0,90,39.0,3.0,A,57.0,4.0,D#,2
32,0.0,90,51.0,4.0,A,39.0,3.0,A,24
33,0.0,90,51.0,4.0,A,41.0,3.0,B,2
34,0.0,90,51.0,4.0,A,42.0,3.0,F#,2
35,0.0,90,51.0,4.0,A,58.0,4.0,A#,12
36,0.0,120,40.0,3.0,E,47.0,3.0,F,11
37,0.0,120,52.0,4.0,E,41.0,3.0,B,6
38,0.0,120,52.0,4.0,E,44.0,3.0,G#,2
