,channel,name,tempo,note_midi_value,note_seconds,octave,note_value,note_name,angle
8,0.0,,,76.0,0.0,6.0,4.0,E,120
10,0.0,,,76.0,0.125,6.0,4.0,E,120
12,0.0,,,76.0,0.375,6.0,4.0,E,120
14,0.0,,,72.0,0.625,6.0,0.0,C,0
16,0.0,,,76.0,0.75,6.0,4.0,E,120
18,0.0,,,79.0,1.0,6.0,7.0,C#,210
20,0.0,,,72.0,2.0,6.0,0.0,C,0
22,0.0,,,67.0,2.375,5.0,7.0,C#,210
24,0.0,,,64.0,2.75,5.0,4.0,E,120
26,0.0,,,69.0,3.125,5.0,9.0,D#,270
28,0.0,,,71.0,3.375,5.0,11.0,F,330
30,0.0,,,70.0,3.625,5.0,10.0,A#,300
32,0.0,,,69.0,3.75,5.0,9.0,D#,270
34,0.0,,,67.0,4.0,5.0,7.0,C#,210
36,0.0,,,76.0,4.166666666666666,6.0,4.0,E,120
38,0.0,,,79.0,4.333333333333333,6.0,7.0,C#,210
40,0.0,,,81.0,4.5,6.0,9.0,D#,270
42,0.0,,,77.0,4.75,6.0,5.0,B,150
44,0.0,,,79.0,4.875,6.0,7.0,C#,210
46,0.0,,,76.0,5.125,6.0,4.0,E,120
48,0.0,,,72.0,5.375,6.0,0.0,C,0
50,0.0,,,74.0,5.5,6.0,2.0,D,60
52,0.0,,,71.0,5.625,5.0,11.0,F,330
54,0.0,,,72.0,6.0,6.0,0.0,C,0
56,0.0,,,67.0,6.375,5.0,7.0,C#,210
58,0.0,,,64.0,6.75,5.0,4.0,E,120
60,0.0,,,69.0,7.125,5.0,9.0,D#,270
62,0.0,,,71.0,7.375,5.0,11.0,F,330
64,0.0,,,70.0,7.625,5.0,10.0,A#,300
66,0.0,,,69.0,7.75,5.0,9.0,D#,270
68,0.0,,,67.0,8.0,5.0,7.0,C#,210
70,0.0,,,76.0,8.166666666666666,6.0,4.0,E,120
72,0.0,,,79.0,8.333333333333332,6.0,7.0,C#,210
74,0.0,,,81.0,8.5,6.0,9.0,D#,270
76,0.0,,,77.0,8.75,6.0,5.0,B,150
78,0.0,,,79.0,8.875,6.0,7.0,C#,210
80,0.0,,,76.0,9.125,6.0,4.0,E,120
82,0.0,,,72.0,9.375,6.0,0.0,C,0
84,0.0,,,74.0,9.5,6.0,2.0,D,60
86,0.0,,,71.0,9.625,5.0,11.0,F,330
88,0.0,,,79.0,10.25,6.0,7.0,C#,210
90,0.0,,,78.0,10.375,6.0,6.0,F#,180
92,0.0,,,77.0,10.5,6.0,5.0,B,150
94,0.0,,,75.0,10.625,6.0,3.0,A,90
96,0.0,,,76.0,10.875,6.0,4.0,E,120
98,0.0,,,68.0,11.125,5.0,8.0,G#,240
100,0.0,,,69.0,11.25,5.0,9.0,D#,270
102,0.0,,,72.0,11.375,6.0,0.0,C,0
104,0.0,,,69.0,11.625,5.0,9.0,D#,270
106,0.0,,,72.0,11.75,6.0,0.0,C,0
108,0.0,,,74.0,11.875,6.0,2.0,D,60
110,0.0,,,79.0,12.25,6.0,7.0,C#,210
112,0.0,,,78.0,12.375,6.0,6.0,F#,180
114,0.0,,,77.0,12.5,6.0,5.0,B,150
116,0.0,,,75.0,12.625,6.0,3.0,A,90
118,0.0,,,76.0,12.875,6.0,4.0,E,120
120,0.0,,,84.0,13.125,7.0,0.0,C,0
