,channel,angle,note_midi_value,octave,note_name,prior_midi_note,prior_octave,prior_note_name,edge_count
0,0.0,0,72.0,6.0,C,67.0,5.0,C#,2
1,0.0,0,72.0,6.0,C,69.0,5.0,D#,8
2,0.0,0,72.0,6.0,C,71.0,5.0,F,2
3,0.0,0,72.0,6.0,C,72.0,6.0,C,20
4,0.0,0,72.0,6.0,C,74.0,6.0,D,5
5,0.0,0,72.0,6.0,C,76.0,6.0,E,22
6,0.0,0,72.0,6.0,C,79.0,6.0,C#,2
7,0.0,0,84.0,7.0,C,76.0,6.0,E,2
8,0.0,0,84.0,7.0,C,84.0,7.0,C,4
9,0.0,60,74.0,6.0,D,72.0,6.0,C,14
10,0.0,60,74.0,6.0,D,75.0,6.0,A,2
11,0.0,60,74.0,6.0,D,76.0,6.0,E,3
12,0.0,90,75.0,6.0,A,74.0,6.0,D,2
13,0.0,90,75.0,6.0,A,77.0,6.0,B,6
14,0.0,120,64.0,5.0,E,67.0,5.0,C#,4
15,0.0,120,76.0,6.0,E,67.0,5.0,C#,9
16,0.0,120,76.0,6.0,E,71.0,5.0,F,1
17,0.0,120,76.0,6.0,E,72.0,6.0,C,4
18,0.0,120,76.0,6.0,E,74.0,6.0,D,6
19,0.0,120,76.0,6.0,E,75.0,6.0,A,6
20,0.0,120,76.0,6.0,E,76.0,6.0,E,6
21,0.0,120,76.0,6.0,E,77.0,6.0,B,6
22,0.0,120,76.0,6.0,E,79.0,6.0,C#,5
23,0.0,150,77.0,6.0,B,69.0,5.0,D#,6
24,0.0,150,77.0,6.0,B,71.0,5.0,F,3
25,0.0,150,77.0,6.0,B,77.0,6.0,B,12
26,0.0,150,77.0,6.0,B,78.0,6.0,F#,6
27,0.0,150,77.0,6.0,B,79.0,6.0,C#,3
28,0.0,150,77.0,6.0,B,81.0,6.0,D#,4
29,0.0,180,78.0,6.0,F#,79.0,6.0,C#,6
30,0.0,210,67.0,5.0,C#,69.0,5.0,D#,11
31,0.0,210,67.0,5.0,C#,72.0,6.0,C,10
32,0.0,210,79.0,6.0,C#,71.0,5.0,F,1
33,0.0,210,79.0,6.0,C#,72.0,6.0,C,1
34,0.0,210,79.0,6.0,C#,74.0,6.0,D,2
35,0.0,210,79.0,6.0,C#,76.0,6.0,E,7
36,0.0,210,79.0,6.0,C#,77.0,6.0,B,4
37,0.0,210,79.0,6.0,C#,81.0,6.0,D#,3
38,0.0,210,79.0,6.0,C#,84.0,7.0,C,2
39,0.0,240,68.0,5.0,G#,67.0,5.0,C#,6
40,0.0,240,68.0,5.0,G#,76.0,6.0,E,4
41,0.0,270,69.0,5.0,D#,64.0,5.0,E,4
42,0.0,270,69.0,5.0,D#,68.0,5.0,G#,10
43,0.0,270,69.0,5.0,D#,70.0,5.0,A#,4
44,0.0,270,69.0,5.0,D#,72.0,6.0,C,11
45,0.0,270,69.0,5.0,D#,77.0,6.0,B,6
46,0.0,270,81.0,6.0,D#,71.0,5.0,F,3
47,0.0,270,81.0,6.0,D#,79.0,6.0,C#,4
48,0.0,270,81.0,6.0,D#,81.0,6.0,D#,6
49,0.0,300,70.0,5.0,A#,71.0,5.0,F,4
50,0.0,330,71.0,5.0,F,69.0,5.0,D#,10
51,0.0,330,71.0,5.0,F,74.0,6.0,D,4
52,1.0,0,60.0,5.0,C,55.0,4.0,C#,4
53,1.0,0,60.0,5.0,C,60.0,5.0,C,4
54,1.0,0,60.0,5.0,C,61.0,5.0,G,4
55,1.0,0,60.0,5.0,C,64.0,5.0,E,11
56,1.0,0,60.0,5.0,C,67.0,5.0,C#,4
57,1.0,0,72.0,6.0,C,60.0,5.0,C,1
58,1.0,0,72.0,6.0,C,62.0,5.0,D,1
59,1.0,0,72.0,6.0,C,64.0,5.0,E,3
60,1.0,0,72.0,6.0,C,65.0,5.0,B,6
61,1.0,0,72.0,6.0,C,67.0,5.0,C#,1
62,1.0,0,72.0,6.0,C,71.0,5.0,F,10
63,1.0,0,72.0,6.0,C,72.0,6.0,C,6
64,1.0,0,72.0,6.0,C,74.0,6.0,D,6
65,1.0,30,61.0,5.0,G,62.0,5.0,D,4
66,1.0,60,62.0,5.0,D,60.0,5.0,C,4
67,1.0,60,62.0,5.0,D,65.0,5.0,B,4
68,1.0,60,74.0,6.0,D,67.0,5.0,C#,3
69,1.0,60,74.0,6.0,D,74.0,6.0,D,6
70,1.0,60,74.0,6.0,D,75.0,6.0,A,6
