,channel,angle,note_midi_value,octave,note_name,prior_midi_note,prior_octave,prior_note_name,edge_count
0,0.0,0,60.0,5.0,C,62.0,5.0,D,3
1,0.0,60,62.0,5.0,D,55.0,4.0,C#,4
2,0.0,60,62.0,5.0,D,60.0,5.0,C,2
3,0.0,60,62.0,5.0,D,62.0,5.0,D,1
4,0.0,60,62.0,5.0,D,64.0,5.0,E,3
5,0.0,120,52.0,4.0,E,60.0,5.0,C,1
6,0.0,120,64.0,5.0,E,55.0,4.0,C#,2
7,0.0,120,64.0,5.0,E,62.0,5.0,D,4
8,0.0,120,64.0,5.0,E,64.0,5.0,E,3
9,0.0,120,64.0,5.0,E,67.0,5.0,C#,1
10,0.0,210,55.0,4.0,C#,62.0,5.0,D,2
11,0.0,210,55.0,4.0,C#,64.0,5.0,E,5
12,0.0,210,67.0,5.0,C#,55.0,4.0,C#,1
13,0.0,210,67.0,5.0,C#,67.0,5.0,C#,1
