,Note,Time,value
0,C,0,0.16261632875457147
1,C#/Db,0,0.4238866012037647
2,D,0,0.45094496596111355
3,D#/Eb,0,0.381159771766157
4,E,0,0.2935661613322572
5,F,0,1.0
6,F#/Gb,0,0.9377785889008445
7,G,0,0.8332106636839909
8,G#/Ab,0,0.5352709617661934
9,A,0,0.12510250553048216
10,A#/Bb,0,0.0884759053927548
11,B,0,0.07143686181872097
12,C,1,0.14930557337166553
13,C#/Db,1,0.36594713963263514
14,D,1,0.3844195888574236
15,D#/Eb,1,0.3284972070242602
16,E,1,0.2604058895604449
17,F,1,0.8477819459550922
18,F#/Gb,1,1.0
19,G,1,0.891075333210725
20,G#/Ab,1,0.4681456412142461
21,A,1,0.11913173227999294
22,A#/Bb,1,0.09467437399619054
23,B,1,0.07222186833210344
24,C,2,0.11810100845972418
25,C#/Db,2,0.26703610315696635
26,D,2,0.2831408787949798
27,D#/Eb,2,0.24554785057563983
28,E,2,0.20127386382302717
29,F,2,0.6144368757490435
30,F#/Gb,2,1.0
31,G,2,0.8485388837824137
32,G#/Ab,2,0.3632104512206868
33,A,2,0.09030157101488524
34,A#/Bb,2,0.09121952228424238
35,B,2,0.0720593617855701
36,C,3,0.0984221226162822
37,C#/Db,3,0.20681308078652705
38,D,3,0.2210857980817766
39,D#/Eb,3,0.20001301977847036
40,E,3,0.16867632371803745
41,F,3,0.46965716970756716
42,F#/Gb,3,1.0
43,G,3,0.8212806537273464
44,G#/Ab,3,0.30535418611782766
45,A,3,0.07544377577540567
46,A#/Bb,3,0.09718557910894232
47,B,3,0.0741656972651893
48,C,4,0.08770188895589853
49,C#/Db,4,0.16748362474584896
50,D,4,0.18297386337481106
51,D#/Eb,4,0.17501196722799708
52,E,4,0.15228422731692365
53,F,4,0.3897651404997883
54,F#/Gb,4,1.0
55,G,4,0.8086861275394353
56,G#/Ab,4,0.2643835079918265
57,A,4,0.06393055921698004
58,A#/Bb,4,0.09344142453284397
59,B,4,0.07504593606257465
60,C,5,0.07870169647913801
61,C#/Db,5,0.14050557241387043
62,D,5,0.15822204031328135
63,D#/Eb,5,0.16142030525249804
64,E,5,0.14528882310798036
65,F,5,0.3491067920598209
66,F#/Gb,5,1.0
67,G,5,0.7914213448584647
68,G#/Ab,5,0.2329493494987631
69,A,5,0.051831554327827434
70,A#/Bb,5,0.09165736725066263
71,B,5,0.07667048238321866
72,C,6,0.07289469827748739
73,C#/Db,6,0.12071965873837821
74,D,6,0.14148882379032493
75,D#/Eb,6,0.15376530682272038
76,E,6,0.1442909872597345
77,F,6,0.3253023558488182
78,F#/Gb,6,1.0
79,G,6,0.7779484581130921
80,G#/Ab,6,0.21193407572936845
81,A,6,0.046977929993950174
82,A#/Bb,6,0.09323794451256054
83,B,6,0.07653151164080224
84,C,7,0.06851915156252411
85,C#/Db,7,0.1068464655137403
86,D,7,0.12973376025714992
87,D#/Eb,7,0.15069543288690815
88,E,7,0.14768010184801303
89,F,7,0.30883174884755377
90,F#/Gb,7,1.0
91,G,7,0.7703661222105719
92,G#/Ab,7,0.19829461936038512
93,A,7,0.04192155379010276
94,A#/Bb,7,0.09024612776487374
95,B,7,0.07748082131445275
96,C,8,0.0685026806210454
97,C#/Db,8,0.09528730434111522
98,D,8,0.12085038170763619
99,D#/Eb,8,0.1489159037300573
100,E,8,0.1532579133124321
101,F,8,0.29633502393383937
102,F#/Gb,8,1.0
103,G,8,0.7641727270195006
104,G#/Ab,8,0.1953718186492425
105,A,8,0.055195307410972394
106,A#/Bb,8,0.09373247657035622
107,B,8,0.0793843530199005
108,C,9,0.07100813248723911
109,C#/Db,9,0.08701400042512573
110,D,9,0.11426727000391045
111,D#/Eb,9,0.14704104432573803
112,E,9,0.15872840334494914
113,F,9,0.28808146905602133
114,F#/Gb,9,1.0
115,G,9,0.7543165124786265
116,G#/Ab,9,0.19555347066392384
117,A,9,0.09157602382684626
118,A#/Bb,9,0.1283130661129781
119,B,9,0.10024602768214935
120,C,10,0.0757034307781483
121,C#/Db,10,0.07858852297636922
122,D,10,0.10777877462059848
123,D#/Eb,10,0.145119730382879
124,E,10,0.16219178824591576
125,F,10,0.29155861741855865
126,F#/Gb,10,1.0
127,G,10,0.7373533202269051
128,G#/Ab,10,0.19223849038059557
129,A,10,0.1450220694703453
130,A#/Bb,10,0.19179752203798325
131,B,10,0.1346127891178661
132,C,11,0.07974521225204197
