Note,Mean,Median
A,0.24974280187177025,0.14654521860022218
A#/Bb,0.464435515632181,0.35346221774248604
B,0.2509975268315727,0.22546460803082874
C,0.2753152312423189,0.1810992535306365
C#/Db,0.1630610336944102,0.11616893586902957
D,0.24790943723708977,0.17147854543088015
D#/Eb,0.3032362199550715,0.1693523714379132
E,0.2375072078216913,0.1892484301632011
F,0.5637085017727897,0.5541417503166319
F#/Gb,0.38115898311671964,0.2859774964638825
G,0.29457674436447,0.1869531916094188
G#/Ab,0.20034476731036907,0.1530346166801484
