Note,Mean,Median
A,0.3637510720708722,0.15495922289230693
A#/Bb,0.22019519742429952,0.12966009681263413
B,0.2832403759731768,0.18608285617708933
C,0.32085239343866695,0.1758180891131258
C#/Db,0.18100016924046528,0.10463935926168517
D,0.367730267013066,0.19282326114839776
D#/Eb,0.24866611093308252,0.17641040539207067
E,0.40321517311158106,0.2405180979944846
F,0.29186904179443257,0.17400753125763763
F#/Gb,0.15279068507731208,0.09918789475535511
G,0.3009847135264519,0.18854794371329098
G#/Ab,0.17133196408372328,0.10629361887689953
