Note,Mean,Median
A,0.24475147110689602,0.17309187266286258
A#/Bb,0.46098070104115946,0.3491906679788953
B,0.20504553809434753,0.1159911673837212
C,0.3466519678009641,0.2838265055907663
C#/Db,0.39770454921052345,0.3132708494008847
D,0.1726290674552907,0.11989440254483348
D#/Eb,0.4104055648844648,0.30998886280443333
E,0.1770368967271602,0.13620770757257208
F,0.46470435588295406,0.41048570129119905
F#/Gb,0.2954883571344401,0.15549751709426785
G,0.19738288525564915,0.1511486717018103
G#/Ab,0.5325765485293932,0.4675539895894384
