Note,Mean,Median
A,0.27099688647471015,0.17715264643539289
A#/Bb,0.18081430448118793,0.10143691231408451
B,0.09901197582725077,0.07846177166648338
C,0.22655357629362413,0.1371008662819543
C#/Db,0.18405722446544187,0.15542359074222867
D,0.5748657602437853,0.5196381627276623
D#/Eb,0.4086870190239207,0.3048123193562282
E,0.32351293690204513,0.28903094048614325
F,0.4658200738702549,0.334558377212894
F#/Gb,0.21198669439756376,0.186441198761956
G,0.4563085282295276,0.30091674269564117
G#/Ab,0.15187189430934278,0.09988030857309207
