,Note,Time,value
0,C,0,0.703200036035109
1,C#/Db,0,0.002005189229659279
2,D,0,0.0006262508493643895
3,D#/Eb,0,0.003190066260137015
4,E,0,0.0023493207225119303
5,F,0,0.0073725764717885185
6,F#/Gb,0,0.0044074551942159925
7,G,0,0.01969395005184725
8,G#/Ab,0,0.03613212803100827
9,A,0,0.10641850575376233
10,A#/Bb,0,0.11114696835515504
11,B,0,1.0
12,C,1,0.6807401400977148
13,C#/Db,1,0.002904347852289585
14,D,1,0.004007005249327062
15,D#/Eb,1,0.00540474571540933
16,E,1,0.006783115383871669
17,F,1,0.008570988298129788
18,F#/Gb,1,0.009117458619519113
19,G,1,0.02119666182747765
20,G#/Ab,1,0.03784159474582634
21,A,1,0.1318392747813949
22,A#/Bb,1,0.11372518865577842
23,B,1,1.0
24,C,2,0.65864265107895
25,C#/Db,2,0.006527280616396936
26,D,2,0.012437209377110387
27,D#/Eb,2,0.013415703989354868
28,E,2,0.012434335874828808
29,F,2,0.015522837812419615
30,F#/Gb,2,0.019913395865081514
31,G,2,0.03299188139038801
32,G#/Ab,2,0.02695403748077554
33,A,2,0.12863507250457767
34,A#/Bb,2,0.16656412295247935
35,B,2,1.0
36,C,3,0.6326439973476511
37,C#/Db,3,0.0027970779704910896
38,D,3,0.0034825616666999963
39,D#/Eb,3,0.00482010258327223
40,E,3,0.006417789726371143
41,F,3,0.006027955453463153
42,F#/Gb,3,0.005630696356929666
43,G,3,0.028716386164605593
44,G#/Ab,3,0.023021052842896787
45,A,3,0.07825929007620779
46,A#/Bb,3,0.18340851470533948
47,B,3,1.0
48,C,4,0.6837860579122608
49,C#/Db,4,0.003434434416340616
50,D,4,0.00617146519836254
51,D#/Eb,4,0.006195433397919491
52,E,4,0.008088228015029663
53,F,4,0.007403768140818383
54,F#/Gb,4,0.013362594660042403
55,G,4,0.023116522820696928
56,G#/Ab,4,0.02763169842642236
57,A,4,0.07420404777435004
58,A#/Bb,4,0.253429787101738
59,B,4,1.0
60,C,5,0.7552568367953942
61,C#/Db,5,0.006776094288452263
62,D,5,0.01471302017112514
63,D#/Eb,5,0.014734140865223946
64,E,5,0.015939433503829946
65,F,5,0.016858456721110745
66,F#/Gb,5,0.01823316310351151
67,G,5,0.030542222988050847
68,G#/Ab,5,0.04221441068986559
69,A,5,0.18530295865208418
70,A#/Bb,5,0.29558640950673515
71,B,5,1.0
72,C,6,0.7734953951020915
73,C#/Db,6,0.005663127089893423
74,D,6,0.010320012165371848
75,D#/Eb,6,0.012668088673541897
76,E,6,0.014026581168423655
77,F,6,0.020600915753681674
78,F#/Gb,6,0.029903906219980007
79,G,6,0.0275308595183322
80,G#/Ab,6,0.03805526107447872
81,A,6,0.18455291030010826
82,A#/Bb,6,0.29482994516749006
83,B,6,1.0
84,C,7,0.7822272139867016
