Note,Mean,Median
A,0.2636961238881451,0.17007573845527918
A#/Bb,0.3252625102540884,0.26749792556088936
B,0.3770084702283503,0.30990489748755823
C,0.675526175823916,0.6795272841962436
C#/Db,0.43927256779468093,0.396802608363325
D,0.4316480122953941,0.3222270143073011
D#/Eb,0.2898684085168049,0.22796883995416276
E,0.3016641778357883,0.18408421625155041
F,0.2620623065887411,0.15124797853239905
F#/Gb,0.20054413169819185,0.13185889594115816
G,0.3109421700916023,0.16553154078472596
G#/Ab,0.25917306090251524,0.15826108457210164
