Note,Mean,Median
A,0.30237564327498617,0.1816287655233768
A#/Bb,0.2927682381824441,0.20205844613611024
B,0.5006201815262173,0.430705229861641
C,0.6597528002815484,0.7038961994886505
C#/Db,0.2521435173673447,0.21093602779084017
D,0.4099090525412648,0.2791018668743805
D#/Eb,0.18157967429191596,0.14805352086947687
E,0.20878539065507598,0.09101022238671899
F,0.11216694058592815,0.06816788739999458
F#/Gb,0.1970655397276756,0.11340056098746511
G,0.3699706228471475,0.24990253342605787
G#/Ab,0.27124495385420627,0.1913257700556215
