Note,Mean,Median
A,0.2944771761643636,0.22899676303758387
A#/Bb,0.23843278801689638,0.18885985781027748
B,0.36329033751250783,0.2704972981914725
C,0.265069179104741,0.16386491937172942
C#/Db,0.22132575309722363,0.17536681592336378
D,0.5013667955332004,0.36903217504560404
D#/Eb,0.2131721225221017,0.16856628269446827
E,0.3445363315304544,0.20387564254062684
F,0.18984494427032714,0.1488597843278593
F#/Gb,0.38298712113676514,0.2559979987726918
G,0.4267603059007283,0.3119438446077455
G#/Ab,0.2476772155363296,0.20203594520089857
