Note,Mean,Median
A,0.2407148100491055,0.20051074998609017
A#/Bb,0.3979466749780915,0.31618678461538796
B,0.5232204619100221,0.4799748945338701
C,0.6347859724318882,0.6158214194173862
C#/Db,0.5612322187752359,0.5398241638908583
D,0.37344542288645316,0.31272940999426146
D#/Eb,0.2573256693579424,0.1869844218967839
E,0.3030322150751695,0.19214861330516864
F,0.41061300325343497,0.2544571354382834
F#/Gb,0.17548668030063205,0.140044342937985
G,0.3022295782006959,0.17015734860706694
G#/Ab,0.2882873680532076,0.19278406208872384
