,Note,Time,value
0,C,0,0.2113429870040375
1,C#/Db,0,0.21920705253157488
2,D,0,0.21295321022722297
3,D#/Eb,0,0.10997985036799668
4,E,0,0.08488156319182495
5,F,0,0.1729418955106125
6,F#/Gb,0,0.15305226409857134
7,G,0,0.634183959715562
8,G#/Ab,0,0.8963483717907923
9,A,0,1.0
10,A#/Bb,0,0.6052764765672314
11,B,0,0.3705271659837074
12,C,1,0.2404855831903468
13,C#/Db,1,0.2489893753004506
14,D,1,0.260705450067639
15,D#/Eb,1,0.14507529934601643
16,E,1,0.12331315722199235
17,F,1,0.25105345829162706
18,F#/Gb,1,0.17547896591516735
19,G,1,0.654681457267714
20,G#/Ab,1,0.9334117990217637
21,A,1,1.0
22,A#/Bb,1,0.6831713108192676
23,B,1,0.41646641341249796
24,C,2,0.27305264875682494
25,C#/Db,2,0.3034937991268036
26,D,2,0.31215192164386374
27,D#/Eb,2,0.19049510656924218
28,E,2,0.14171417900205002
29,F,2,0.3318974555341978
30,F#/Gb,2,0.19686194614004573
31,G,2,0.6107116565431114
32,G#/Ab,2,1.0
33,A,2,0.9783357638263427
34,A#/Bb,2,0.8641703828126545
35,B,2,0.5206904090785649
36,C,3,0.3140934732203884
37,C#/Db,3,0.39273028032776847
38,D,3,0.3821454934870808
39,D#/Eb,3,0.2745542174871669
40,E,3,0.1570635190624528
41,F,3,0.3496256716526846
42,F#/Gb,3,0.2568161899334505
43,G,3,0.49211422963865353
44,G#/Ab,3,1.0
45,A,3,0.8967615295996699
46,A#/Bb,3,0.9705393159650587
47,B,3,0.5057320332000912
48,C,4,0.36944649512594646
49,C#/Db,4,0.48650754239508365
50,D,4,0.4483148105858981
51,D#/Eb,4,0.32367931004799294
52,E,4,0.18375701610293502
53,F,4,0.37323219331578356
54,F#/Gb,4,0.37325845036948985
55,G,4,0.5936521348824305
56,G#/Ab,4,0.9744771914863867
57,A,4,0.8638406173698133
58,A#/Bb,4,1.0
59,B,4,0.4887763178397527
60,C,5,0.411684440703935
61,C#/Db,5,0.5881173140108941
62,D,5,0.5244284690335032
63,D#/Eb,5,0.3555648297569897
64,E,5,0.2167208858490345
65,F,5,0.41198120362828766
66,F#/Gb,5,0.5177272997842233
67,G,5,0.6994286944103129
68,G#/Ab,5,0.9648884259998965
69,A,5,0.8376114506252692
70,A#/Bb,5,1.0
71,B,5,0.5087491039159752
72,C,6,0.40407871574240695
73,C#/Db,6,0.5824489282964481
74,D,6,0.5089792388139687
75,D#/Eb,6,0.3447768050676391
76,E,6,0.22184573062233365
77,F,6,0.34540159259533876
78,F#/Gb,6,0.6423822160431905
79,G,6,0.7104483441715109
80,G#/Ab,6,1.0
81,A,6,0.7851962653607126
82,A#/Bb,6,0.9291174387859606
83,B,6,0.45233379179734956
84,C,7,0.41572611044384483
85,C#/Db,7,0.5447255187501308
86,D,7,0.47000237654703836
87,D#/Eb,7,0.31383492489908754
88,E,7,0.2404190226381338
89,F,7,0.3174922818826693
90,F#/Gb,7,0.7198160682958202
91,G,7,0.7053107680890066
92,G#/Ab,7,1.0
93,A,7,0.8050776467067307
94,A#/Bb,7,0.7566974192243047
95,B,7,0.3432254996921251
96,C,8,0.47269430615042063
97,C#/Db,8,0.5364078499553133
98,D,8,0.4335784882553138
99,D#/Eb,8,0.293754719488363
100,E,8,0.2603343843628826
101,F,8,0.2850268602547094
102,F#/Gb,8,0.8298726856414258
103,G,8,0.708837418589777
104,G#/Ab,8,1.0
105,A,8,0.9266809271735462
106,A#/Bb,8,0.5777667832647482
107,B,8,0.2769139821759758
108,C,9,0.4949902433228757
109,C#/Db,9,0.5096781529873904
110,D,9,0.40038453256291906
111,D#/Eb,9,0.26356460557333034
112,E,9,0.2660640496329698
113,F,9,0.26121686011739087
114,F#/Gb,9,0.9001832237302098
115,G,9,0.6895448377516503
116,G#/Ab,9,0.9860496604044581
117,A,9,1.0
118,A#/Bb,9,0.5041335113542936
119,B,9,0.2578925242593211
120,C,10,0.48125333718082236
121,C#/Db,10,0.44669291374103043
122,D,10,0.34395155797846055
123,D#/Eb,10,0.2244215062237881
124,E,10,0.25958803600432423
125,F,10,0.2427076810025295
126,F#/Gb,10,0.9035165909588427
127,G,10,0.6515497812882111
128,G#/Ab,10,1.0
129,A,10,0.9539407811753599
130,A#/Bb,10,0.5492009451923884
131,B,10,0.26911844845078065
132,C,11,0.47071424123667993
133,C#/Db,11,0.40738459565560636
134,D,11,0.30921557431665403
135,D#/Eb,11,0.2014179768564506
136,E,11,0.2548216553666349
137,F,11,0.24070931868770734
138,F#/Gb,11,0.9107675031274625
139,G,11,0.609831417227858
140,G#/Ab,11,1.0
141,A,11,0.9001438121227865
142,A#/Bb,11,0.6292557740132789
143,B,11,0.32539761217159
144,C,12,0.44226486827871075
145,C#/Db,12,0.3729665048403289
146,D,12,0.2685862366713358
147,D#/Eb,12,0.17146186866691193
148,E,12,0.2448042750507218
149,F,12,0.23940925167366103
150,F#/Gb,12,0.9006141277046219
151,G,12,0.5697851609688563
152,G#/Ab,12,1.0
153,A,12,0.7671246660359025
154,A#/Bb,12,0.7303707993265076
155,B,12,0.38151766761947614
156,C,13,0.3701048267579824
157,C#/Db,13,0.31334844493047004
158,D,13,0.21867043922821786
159,D#/Eb,13,0.1426338751468799
160,E,13,0.2192492242683781
161,F,13,0.23491436307912694
162,F#/Gb,13,0.823063695650232
163,G,13,0.5427989350016231
164,G#/Ab,13,1.0
165,A,13,0.5713388727716708
166,A#/Bb,13,0.7787987737511392
167,B,13,0.388112721313855
168,C,14,0.3035371481384788
169,C#/Db,14,0.26207200537465875
170,D,14,0.17286259725489
171,D#/Eb,14,0.11747389706834079
172,E,14,0.19388573598817602
173,F,14,0.22364855106147774
174,F#/Gb,14,0.7186011440590694
175,G,14,0.5531154471404742
176,G#/Ab,14,1.0
177,A,14,0.40040483263163257
178,A#/Bb,14,0.7714033227571894
179,B,14,0.36674216334015775
180,C,15,0.2371927729883633
181,C#/Db,15,0.2096061120186927
182,D,15,0.12967898665096875
183,D#/Eb,15,0.09173212150558512
184,E,15,0.16448590492778337
185,F,15,0.20242964195557522
186,F#/Gb,15,0.6009566035864207
187,G,15,0.5591400479875381
188,G#/Ab,15,1.0
189,A,15,0.33828711631645464
190,A#/Bb,15,0.7029689107791486
191,B,15,0.3227744995214857
192,C,16,0.1814410367471878
193,C#/Db,16,0.16640638223021817
194,D,16,0.09785889806569675
195,D#/Eb,16,0.07649429794766972
196,E,16,0.13891030205972563
197,F,16,0.17208242738343676
198,F#/Gb,16,0.49707684750054754
199,G,16,0.5511651996967663
200,G#/Ab,16,1.0
201,A,16,0.4286257191882641
202,A#/Bb,16,0.6218445773327006
203,B,16,0.28814407419738025
204,C,17,0.14096852758296602
205,C#/Db,17,0.13651511291459562
206,D,17,0.07884474168719384
207,D#/Eb,17,0.06525643588489251
208,E,17,0.12162320378213812
209,F,17,0.14868201647938964
210,F#/Gb,17,0.4253900170132119
211,G,17,0.525556105038227
212,G#/Ab,17,1.0
213,A,17,0.5407062765116823
214,A#/Bb,17,0.5596642601323545
215,B,17,0.2605908788645968
216,C,18,0.11763792653578627
217,C#/Db,18,0.11725641483194438
218,D,18,0.07042193914895234
219,D#/Eb,18,0.059597311017887344
220,E,18,0.10895338715652066
221,F,18,0.13379647661083335
222,F#/Gb,18,0.37789599501079274
223,G,18,0.49121351081569564
224,G#/Ab,18,1.0
225,A,18,0.6373333318370094
226,A#/Bb,18,0.51130592889034
227,B,18,0.23762110787606763
228,C,19,0.09844424777695854
229,C#/Db,19,0.09982517112078097
230,D,19,0.06564826621876214
231,D#/Eb,19,0.05839994515508176
232,E,19,0.09804075318929806
233,F,19,0.12273100881489617
234,F#/Gb,19,0.3416296950456548
235,G,19,0.4535912570091331
236,G#/Ab,19,1.0
237,A,19,0.7156862065008668
238,A#/Bb,19,0.45876918065160954
239,B,19,0.2167362678155576
240,C,20,0.10151373274014223
241,C#/Db,20,0.09532830812633532
242,D,20,0.06196181901110704
243,D#/Eb,20,0.060229563838319254
244,E,20,0.0950142525205181
245,F,20,0.11307353492031401
246,F#/Gb,20,0.31571190788165376
247,G,20,0.44257860488619327
248,G#/Ab,20,1.0
249,A,20,0.798293044182052
250,A#/Bb,20,0.41977457826231607
251,B,20,0.22495013759487906
252,C,21,0.11292853152858125
253,C#/Db,21,0.10147413251042299
254,D,21,0.06099810306540316
255,D#/Eb,21,0.06778950277422267
256,E,21,0.10638698412283663
257,F,21,0.11135775305870808
258,F#/Gb,21,0.30105718075103366
259,G,21,0.4633314876610193
260,G#/Ab,21,1.0
261,A,21,0.881906394915818
262,A#/Bb,21,0.4099456463568508
263,B,21,0.26164678854498424
264,C,22,0.11148231209819923
265,C#/Db,22,0.10997827388870994
266,D,22,0.06282484148649978
267,D#/Eb,22,0.07748093549458973
268,E,22,0.1377235506978931
269,F,22,0.11936213321040222
270,F#/Gb,22,0.287453836730222
271,G,22,0.48767080187089
272,G#/Ab,22,1.0
273,A,22,0.949502840871324
274,A#/Bb,22,0.4074369008492084
275,B,22,0.328546322730362
276,C,23,0.09666004688482127
277,C#/Db,23,0.11138413917783913
278,D,23,0.06285617184133094
279,D#/Eb,23,0.08204924086593537
280,E,23,0.16677611757796534
281,F,23,0.1270385194424557
282,F#/Gb,23,0.28923663706162606
283,G,23,0.49235589926384865
284,G#/Ab,23,1.0
285,A,23,0.9640711148923408
286,A#/Bb,23,0.38496204867811995
287,B,23,0.4208577884238016
288,C,24,0.0855996981185797
289,C#/Db,24,0.104961795099714
290,D,24,0.05883590548357859
291,D#/Eb,24,0.07469505155482459
292,E,24,0.1804495811809172
293,F,24,0.12469379417300677
294,F#/Gb,24,0.2609108475871271
295,G,24,0.48851050410235636
296,G#/Ab,24,1.0
297,A,24,0.9718031645887864
298,A#/Bb,24,0.3500852432587397
299,B,24,0.49845899932534493
300,C,25,0.081495397334894
301,C#/Db,25,0.09635090442961088
302,D,25,0.05169431506988791
303,D#/Eb,25,0.07500258463799908
304,E,25,0.1830684886507578
305,F,25,0.11094090699307098
306,F#/Gb,25,0.22796237904178449
307,G,25,0.4751779850664955
308,G#/Ab,25,1.0
309,A,25,0.9845324044872781
310,A#/Bb,25,0.30821586966735287
311,B,25,0.5032678622710375
312,C,26,0.07284519279549466
313,C#/Db,26,0.08434620534503642
314,D,26,0.04461014352328138
315,D#/Eb,26,0.07765496109583955
316,E,26,0.17102758174048652
317,F,26,0.09794276905015317
318,F#/Gb,26,0.19827792704236227
319,G,26,0.45904464754375784
