Note,Mean,Median
A,0.545532873003477,0.5229364478790798
A#/Bb,0.28795216338318,0.2375288988955508
B,0.3494550367565101,0.2804434035093754
C,0.4033291434289896,0.32092345033955805
C#/Db,0.2517434514354036,0.18736205994638067
D,0.3240897138852457,0.19211305095538564
D#/Eb,0.2082401838623917,0.16180961424334803
E,0.5844853027675042,0.5456383862533275
F,0.2681682673995727,0.1765356318330405
F#/Gb,0.26589546335569947,0.20258034772890535
G,0.4518654489128886,0.35179205431313465
G#/Ab,0.2635979595268265,0.22541813270975708
