,Note,Time,value
0,C,0,0.2753182188410508
1,C#/Db,0,0.29348468779613734
2,D,0,0.38683192622624224
3,D#/Eb,0,0.3509085094877056
4,E,0,0.6233952022701813
5,F,0,0.650319707431733
6,F#/Gb,0,0.7429647664022198
7,G,0,1.0
8,G#/Ab,0,0.3510549456864439
9,A,0,0.529614326166362
10,A#/Bb,0,0.1476967696719444
11,B,0,0.1377734313253426
12,C,1,0.3808740430961199
13,C#/Db,1,0.3256895669057124
14,D,1,0.4116984330620438
15,D#/Eb,1,0.3869894725406152
16,E,1,0.6390900455108401
17,F,1,0.7322760030526005
18,F#/Gb,1,0.8225446261960603
19,G,1,1.0
20,G#/Ab,1,0.5764196315933326
21,A,1,0.6070432559040342
22,A#/Bb,1,0.4408994948238118
23,B,1,0.22475858096549234
24,C,2,0.4257222332204326
25,C#/Db,2,0.35317523039947524
26,D,2,0.43543572320272134
27,D#/Eb,2,0.40322089631272706
28,E,2,0.6127665905558383
29,F,2,0.8083881803690097
30,F#/Gb,2,0.8259890079803959
31,G,2,1.0
32,G#/Ab,2,0.7928178226972832
33,A,2,0.6758847470032593
34,A#/Bb,2,0.7433053685376869
35,B,2,0.40110755421287736
36,C,3,0.3691788757352536
37,C#/Db,3,0.34130563823937876
38,D,3,0.39673043007002334
39,D#/Eb,3,0.4308582483426952
40,E,3,0.5937471241855172
41,F,3,0.8049120472806612
42,F#/Gb,3,0.788734271078345
43,G,3,1.0
44,G#/Ab,3,0.9367861108891232
45,A,3,0.6613498689646267
46,A#/Bb,3,0.9826158048665504
47,B,3,0.6890246917075126
48,C,4,0.32272786950350263
49,C#/Db,4,0.27434796368365505
50,D,4,0.2950663714607204
51,D#/Eb,4,0.3404898628674073
52,E,4,0.4658931373377755
53,F,4,0.6499518473618227
54,F#/Gb,4,0.6175249768349302
55,G,4,0.7569413549804836
56,G#/Ab,4,0.8895514224752279
57,A,4,0.4989193041071359
58,A#/Bb,4,1.0
59,B,4,0.8982895694340626
60,C,5,0.45140125446975654
61,C#/Db,5,0.3323112385291258
62,D,5,0.2689593217384407
63,D#/Eb,5,0.253166404761993
64,E,5,0.35077364048306486
65,F,5,0.4782746775645239
66,F#/Gb,5,0.45895807278008083
67,G,5,0.567784518227066
68,G#/Ab,5,0.7628168100091666
69,A,5,0.4317760458987765
70,A#/Bb,5,0.9593806229044889
71,B,5,1.0
72,C,6,0.5288132258466022
73,C#/Db,6,0.40253271838704474
74,D,6,0.30187411080880194
75,D#/Eb,6,0.2628631174898994
76,E,6,0.3142370582124762
77,F,6,0.39399145253662887
78,F#/Gb,6,0.31158998611040345
79,G,6,0.41563509176784874
80,G#/Ab,6,0.5978669983325425
81,A,6,0.4081144406963605
82,A#/Bb,6,0.865822425741839
83,B,6,1.0
84,C,7,0.6013126310131861
85,C#/Db,7,0.47671311472191763
86,D,7,0.3418403646905653
87,D#/Eb,7,0.299158948290468
88,E,7,0.34713119631919837
89,F,7,0.4160165172316836
90,F#/Gb,7,0.28852573062616205
91,G,7,0.3077356693686946
92,G#/Ab,7,0.5094706178116151
93,A,7,0.41068523693625963
94,A#/Bb,7,0.8411538125911837
95,B,7,1.0
96,C,8,0.6604799661135788
97,C#/Db,8,0.5438108668546988
98,D,8,0.3858313888364321
99,D#/Eb,8,0.35280617161845595
100,E,8,0.396776913393785
101,F,8,0.48866906223929935
102,F#/Gb,8,0.36381440893837025
103,G,8,0.3191941638367959
104,G#/Ab,8,0.4626325290813455
105,A,8,0.44818199735626957
106,A#/Bb,8,0.8363767928990931
107,B,8,1.0
108,C,9,0.7153151763746846
109,C#/Db,9,0.6064923647754668
110,D,9,0.4236220268111142
111,D#/Eb,9,0.40122062810678044
112,E,9,0.45000641437173416
113,F,9,0.5710575168565899
114,F#/Gb,9,0.49305157097458857
115,G,9,0.4006642888374401
116,G#/Ab,9,0.4474781121949155
117,A,9,0.4760078391057402
118,A#/Bb,9,0.8561749226588381
119,B,9,1.0
120,C,10,0.7548410917374976
121,C#/Db,10,0.6545364772260076
122,D,10,0.45836183998466445
123,D#/Eb,10,0.45316937580049427
124,E,10,0.5007410916028864
125,F,10,0.6497169909753973
126,F#/Gb,10,0.6561084328809176
127,G,10,0.5203530768029279
128,G#/Ab,10,0.46613533653215794
129,A,10,0.4738937181154339
130,A#/Bb,10,0.9144919256908111
131,B,10,1.0
132,C,11,0.8098547352620573
133,C#/Db,11,0.7120320733945095
134,D,11,0.5055634762198923
135,D#/Eb,11,0.5070876480254416
136,E,11,0.5454492666529818
137,F,11,0.7126623399279324
138,F#/Gb,11,0.8381416446434591
139,G,11,0.6513087978430565
140,G#/Ab,11,0.5401424654238602
141,A,11,0.5158305938363551
142,A#/Bb,11,0.9894368340692601
143,B,11,1.0
144,C,12,0.8079275590640105
145,C#/Db,12,0.7289050858259011
146,D,12,0.5274691533152869
147,D#/Eb,12,0.5116498364495928
148,E,12,0.5403808193917048
149,F,12,0.7026070084028367
150,F#/Gb,12,0.95042522813337
151,G,12,0.7173895817520712
152,G#/Ab,12,0.6136146636338098
153,A,12,0.587858962873487
154,A#/Bb,12,1.0
155,B,12,0.9269709429991665
156,C,13,0.7642656167037251
157,C#/Db,13,0.7377066734748854
158,D,13,0.5285103621302846
159,D#/Eb,13,0.4798465935431832
160,E,13,0.5097594573269926
161,F,13,0.65349142429579
162,F#/Gb,13,1.0
163,G,13,0.7208571496292256
164,G#/Ab,13,0.671179411804596
165,A,13,0.6461086373048767
166,A#/Bb,13,0.9709966520771869
167,B,13,0.8261939134087024
168,C,14,0.7007107004716541
169,C#/Db,14,0.7435218608671675
170,D,14,0.5007718251072462
171,D#/Eb,14,0.43313213342626206
172,E,14,0.48864201927950246
173,F,14,0.5866430489307433
174,F#/Gb,14,1.0
175,G,14,0.6795430840370291
176,G#/Ab,14,0.7048090757419823
177,A,14,0.678499023552861
178,A#/Bb,14,0.9132743785418942
179,B,14,0.7202732692474781
180,C,15,0.6708677656701425
181,C#/Db,15,0.7748500636112338
182,D,15,0.46713947381245774
183,D#/Eb,15,0.42219423488383334
184,E,15,0.49773610498897103
185,F,15,0.5389976482437646
186,F#/Gb,15,1.0
187,G,15,0.6345072881676639
188,G#/Ab,15,0.7421317158751327
189,A,15,0.7049065590624862
190,A#/Bb,15,0.8692194744350802
191,B,15,0.6442070016621037
192,C,16,0.6715462721536504
193,C#/Db,16,0.816824846206982
194,D,16,0.43704568705032953
195,D#/Eb,16,0.47009955993879543
196,E,16,0.5153873379640967
197,F,16,0.5125873948337345
198,F#/Gb,16,1.0
199,G,16,0.5910791576628054
200,G#/Ab,16,0.7863716104259095
201,A,16,0.7180815562401901
202,A#/Bb,16,0.835821413401663
203,B,16,0.5910316844885577
204,C,17,0.6810827335596054
205,C#/Db,17,0.8598878499691125
206,D,17,0.41232653977033906
207,D#/Eb,17,0.5378648189628513
208,E,17,0.5295726607931803
209,F,17,0.49451584425598505
210,F#/Gb,17,1.0
211,G,17,0.5562495279643366
212,G#/Ab,17,0.8333731679471458
213,A,17,0.7251545655768346
214,A#/Bb,17,0.8127611193263795
215,B,17,0.554357186245542
216,C,18,0.6939240347025206
217,C#/Db,18,0.9096747617597066
218,D,18,0.4060030370622954
219,D#/Eb,18,0.6086045067674585
220,E,18,0.5539764424940258
221,F,18,0.4930163719011193
222,F#/Gb,18,1.0
223,G,18,0.5271979396226052
224,G#/Ab,18,0.8865837084239432
225,A,18,0.7261233160429538
226,A#/Bb,18,0.7984945286392535
227,B,18,0.5323150549263392
228,C,19,0.7029505917082348
229,C#/Db,19,0.9433889845471751
230,D,19,0.4244704665867303
231,D#/Eb,19,0.6811054414556537
232,E,19,0.5593764392852809
233,F,19,0.5064951027866869
234,F#/Gb,19,1.0
235,G,19,0.5067453415462972
236,G#/Ab,19,0.9436272964285821
237,A,19,0.7172833700561005
238,A#/Bb,19,0.786776613368051
239,B,19,0.5376077160634378
240,C,20,0.6996460188220239
241,C#/Db,20,0.9490083225246846
242,D,20,0.4777644303529639
243,D#/Eb,20,0.7457698281039986
244,E,20,0.5447947493994907
245,F,20,0.4927861554118141
246,F#/Gb,20,0.9891520960824575
247,G,20,0.4916330031507325
248,G#/Ab,20,1.0
249,A,20,0.6968765195216943
250,A#/Bb,20,0.7859612022364696
251,B,20,0.5417880700266626
252,C,21,0.6481644616201052
253,C#/Db,21,0.8807919274471618
254,D,21,0.5191735914231654
255,D#/Eb,21,0.7314660950030372
256,E,21,0.509904929987256
257,F,21,0.44767352644220704
258,F#/Gb,21,0.9216121505821074
259,G,21,0.46314010987664234
260,G#/Ab,21,1.0
261,A,21,0.6363239948935291
262,A#/Bb,21,0.738838853364404
263,B,21,0.5253319939784554
264,C,22,0.5990384371306894
265,C#/Db,22,0.7994229835165222
266,D,22,0.5471669229502397
267,D#/Eb,22,0.68555068840873
268,E,22,0.4877365443619014
269,F,22,0.4359886734646226
270,F#/Gb,22,0.8600929097740224
271,G,22,0.44545625739793737
272,G#/Ab,22,1.0
273,A,22,0.5756254681152281
274,A#/Bb,22,0.6891803481516932
275,B,22,0.5094690359447176
276,C,23,0.5576515072357087
277,C#/Db,23,0.7141446943990764
278,D,23,0.5600187129991527
279,D#/Eb,23,0.6203077941862775
280,E,23,0.4634482944011865
281,F,23,0.41545810079736956
282,F#/Gb,23,0.7931826935298195
283,G,23,0.4279762967022072
284,G#/Ab,23,1.0
285,A,23,0.5064356488183569
286,A#/Bb,23,0.651199353147173
287,B,23,0.504478009049155
288,C,24,0.5206157291531841
289,C#/Db,24,0.6258141609611475
290,D,24,0.5663446196118573
291,D#/Eb,24,0.5468184781246243
292,E,24,0.42489331388797386
293,F,24,0.3705605678454686
294,F#/Gb,24,0.7289203783464575
295,G,24,0.42591116911533367
296,G#/Ab,24,1.0
297,A,24,0.4455743549709403
298,A#/Bb,24,0.6233869834795346
299,B,24,0.5007838886157966
300,C,25,0.48788949270639614
301,C#/Db,25,0.5306344813197349
302,D,25,0.5687030562595042
303,D#/Eb,25,0.48031504504739764
304,E,25,0.3754917853543539
305,F,25,0.35415304642731
306,F#/Gb,25,0.6802859916813432
307,G,25,0.419965960803369
308,G#/Ab,25,1.0
309,A,25,0.39168599327861103
310,A#/Bb,25,0.6096155329459662
311,B,25,0.5077058514120132
312,C,26,0.4646091359551734
313,C#/Db,26,0.4450700851264143
314,D,26,0.5521696588397386
315,D#/Eb,26,0.43067642834080966
316,E,26,0.3296247715192731
317,F,26,0.3675362275815688
318,F#/Gb,26,0.6432989523606191
319,G,26,0.44849658245236057
