Note,Mean,Median
A,0.564355695274531,0.5325283006475401
A#/Bb,0.4593134005163546,0.4199619369135327
B,0.41597216977306606,0.3557733868064884
C,0.3988183937302843,0.30724102839915285
C#/Db,0.4620976545825777,0.3852054431215994
D,0.5291632314708618,0.48180361297246943
D#/Eb,0.36937308708993594,0.3259702211505029
E,0.43245639343034536,0.36853364967820457
F,0.4621392760431753,0.39198150725158654
F#/Gb,0.3445567483218201,0.30896917365888815
G,0.4910723089178262,0.4298643784144961
G#/Ab,0.4971982294697892,0.46582390139995095
