Note,Mean,Median
A,0.336449423366487,0.2650616166710739
A#/Bb,0.32474131407087875,0.21694226370439923
B,0.4883344392364174,0.4295490371046609
C,0.2550849172533346,0.19766876003612832
C#/Db,0.22121406987644263,0.18487232894722475
D,0.45219821507910607,0.40004822493355335
D#/Eb,0.31515960328152576,0.2722306340800359
E,0.4751138505422573,0.4579847322528167
F,0.3498757068866207,0.23903298386735078
F#/Gb,0.35942631579068396,0.29292988160703104
G,0.7040872609208514,0.7503398803445032
G#/Ab,0.2740870745648209,0.2344141484196294
