Note,Mean,Median
A,0.2538902765847059,0.17510784626559836
A#/Bb,0.36943826889796433,0.27258628043293254
B,0.24036591526569082,0.15221210565300355
C,0.455597140469622,0.33359299028319794
C#/Db,0.16807274075979492,0.11190062827964711
D,0.22818737888386045,0.16304803557774858
D#/Eb,0.34259468943024535,0.25684015237910274
E,0.22844077124046433,0.16264508318506302
F,0.3071844967417817,0.17594305438578936
F#/Gb,0.20420056006397488,0.152510130816704
G,0.4328939739726993,0.33738335440302714
G#/Ab,0.45901685803519315,0.29752234797403737
