Note,Mean,Median
A,0.43783707335228317,0.35416549730857827
A#/Bb,0.5340406626361854,0.4810850358979858
B,0.41364895891311154,0.36372151958316773
C,0.45559329737396903,0.3920161903807975
C#/Db,0.30479349934955435,0.25828598085507015
D,0.3667195091960247,0.26146920549122693
D#/Eb,0.3429829627805794,0.2443364145190183
E,0.2519401112860864,0.20645236146163432
F,0.2949722747756726,0.22180703485904057
F#/Gb,0.23308572831359792,0.17853014589753397
G,0.4382878667221365,0.2973717668025549
G#/Ab,0.3537771055283725,0.2878160670919948
