,Note,Time,value
0,C,0,0.492462085684831
1,C#/Db,0,0.692109345816798
2,D,0,0.3813763222410282
3,D#/Eb,0,0.7233878871490161
4,E,0,0.20388165712201223
5,F,0,0.2737147694497098
6,F#/Gb,0,0.597136905943907
7,G,0,1.0
8,G#/Ab,0,0.45289157199845703
9,A,0,0.6119973068239878
10,A#/Bb,0,0.07565241862296967
11,B,0,0.08922584160503338
12,C,1,0.47165447065451394
13,C#/Db,1,0.6991259734328904
14,D,1,0.3662798519760744
15,D#/Eb,1,0.7298852492933701
16,E,1,0.2622756532683335
17,F,1,0.31960649685657966
18,F#/Gb,1,0.6559305704279461
19,G,1,1.0
20,G#/Ab,1,0.5670868963335861
21,A,1,0.6825523673346903
22,A#/Bb,1,0.061088022455597774
23,B,1,0.07436384747812691
24,C,2,0.499030283098284
25,C#/Db,2,0.6786023535169057
26,D,2,0.3845912397209099
27,D#/Eb,2,0.725183639748826
28,E,2,0.3541795220172062
29,F,2,0.3406774862071089
30,F#/Gb,2,0.7103903660301745
31,G,2,1.0
32,G#/Ab,2,0.7291145653728428
33,A,2,0.6995342807322333
34,A#/Bb,2,0.10289771521664384
35,B,2,0.0681097711182622
36,C,3,0.5183455565434398
37,C#/Db,3,0.621924109910282
38,D,3,0.41796643910159775
39,D#/Eb,3,0.7384709904010514
40,E,3,0.44851246794725336
41,F,3,0.33973320021501807
42,F#/Gb,3,0.7597830021982145
43,G,3,1.0
44,G#/Ab,3,0.9352455180650235
45,A,3,0.6674630648539714
46,A#/Bb,3,0.10586441110005078
47,B,3,0.07662961150911653
48,C,4,0.46083787890772854
49,C#/Db,4,0.5269502514074194
50,D,4,0.3630914533835701
51,D#/Eb,4,0.6172028669093178
52,E,4,0.48129176138881846
53,F,4,0.2987957108886617
54,F#/Gb,4,0.6900835513637608
55,G,4,0.9573720785512053
56,G#/Ab,4,1.0
57,A,4,0.5886202521834683
58,A#/Bb,4,0.11174502897588492
59,B,4,0.06273520489294022
60,C,5,0.352459903461526
61,C#/Db,5,0.427563701479483
62,D,5,0.3097141552702425
63,D#/Eb,5,0.47606683575113085
64,E,5,0.4539666836180123
65,F,5,0.24241279485681919
66,F#/Gb,5,0.5662201841907795
67,G,5,0.880227845781198
68,G#/Ab,5,1.0
69,A,5,0.5227103714372854
70,A#/Bb,5,0.09772919655024172
71,B,5,0.07026002080377265
72,C,6,0.279894569868198
73,C#/Db,6,0.372898405434321
74,D,6,0.2867691494185293
75,D#/Eb,6,0.3914635688231707
76,E,6,0.4260007200711886
77,F,6,0.2122607888435072
78,F#/Gb,6,0.4559611521549761
79,G,6,0.8348083895077868
80,G#/Ab,6,1.0
81,A,6,0.45691980840723
82,A#/Bb,6,0.11531772062208795
83,B,6,0.06546173324056057
84,C,7,0.2373261875364717
85,C#/Db,7,0.33359664114886833
86,D,7,0.29880823955938035
87,D#/Eb,7,0.348193923073265
88,E,7,0.3872057111723769
89,F,7,0.20291485633350362
90,F#/Gb,7,0.3633563401579703
91,G,7,0.8210884244008221
92,G#/Ab,7,1.0
93,A,7,0.38161114815648073
94,A#/Bb,7,0.12903102302189526
95,B,7,0.06563649755471
96,C,8,0.19021126222663096
97,C#/Db,8,0.30071582714354333
98,D,8,0.3623262779631813
99,D#/Eb,8,0.3456297180857436
100,E,8,0.35660394810448814
101,F,8,0.20367118910188606
102,F#/Gb,8,0.30755890402361796
103,G,8,0.8149381181899822
104,G#/Ab,8,1.0
105,A,8,0.31270023114663137
106,A#/Bb,8,0.14217808265042933
107,B,8,0.07289465099338746
108,C,9,0.17730594885179138
109,C#/Db,9,0.2835274429259576
110,D,9,0.44757067150952445
111,D#/Eb,9,0.3884751557706294
112,E,9,0.35245472068274286
113,F,9,0.2054758811467968
114,F#/Gb,9,0.27324192614887677
115,G,9,0.8161921179019672
116,G#/Ab,9,1.0
117,A,9,0.2614868701334246
118,A#/Bb,9,0.1610915780260758
119,B,9,0.08637488893684758
