Note,Mean,Median
A,0.3582816618061678,0.23973394069288695
A#/Bb,0.2695746683518728,0.18062647473200216
B,0.267965348068979,0.1741142848022818
C,0.24575827084996904,0.13847129935588426
C#/Db,0.22585834975668398,0.16154962599554457
D,0.30683230669130734,0.22021401838534654
D#/Eb,0.2799148975883664,0.17240057476998102
E,0.378049114867804,0.24235945246589857
F,0.34872778281043415,0.2517019602239856
F#/Gb,0.536196150597778,0.49674751869578226
G,0.63232386038794,0.6891936328923407
G#/Ab,0.36076322477510825,0.27075276953378097
