,Note,Time,value
0,C,0,0.48084493046837345
1,C#/Db,0,1.0
2,D,0,0.8865393711253833
3,D#/Eb,0,0.5776076292419354
4,E,0,0.9958377684838644
5,F,0,0.4920349085015228
6,F#/Gb,0,0.7081931469785012
7,G,0,0.9623183175936713
8,G#/Ab,0,0.8554396832134062
9,A,0,0.19440177005447154
10,A#/Bb,0,0.17425603697294184
11,B,0,0.10840723597789163
12,C,1,0.46047401592330084
13,C#/Db,1,0.9319405181295389
14,D,1,0.8309568622630228
15,D#/Eb,1,0.5419162974465304
16,E,1,0.9322001497253437
17,F,1,0.4675757385261816
18,F#/Gb,1,0.6589145498501798
19,G,1,1.0
20,G#/Ab,1,0.8581625642574179
21,A,1,0.2014723236283017
22,A#/Bb,1,0.1860127704145203
23,B,1,0.10867966232284476
24,C,2,0.44174795597191086
25,C#/Db,2,0.8119112474538933
26,D,2,0.7399365845309211
27,D#/Eb,2,0.4753445255105156
28,E,2,0.8263461839232765
29,F,2,0.4295343659548604
30,F#/Gb,2,0.5802981638552596
31,G,2,1.0
32,G#/Ab,2,0.8543946099020615
33,A,2,0.2433060861147237
34,A#/Bb,2,0.21415661948862535
35,B,2,0.1274142084405424
36,C,3,0.41186309944713806
37,C#/Db,3,0.7358841382875473
38,D,3,0.6939367753678337
39,D#/Eb,3,0.44629869089508595
40,E,3,0.7661608337868696
41,F,3,0.3960472868199222
42,F#/Gb,3,0.5302308043792591
43,G,3,1.0
44,G#/Ab,3,0.8476569820723906
45,A,3,0.23566171015342557
46,A#/Bb,3,0.20524968153156556
47,B,3,0.1234384778374079
48,C,4,0.38828891908483326
49,C#/Db,4,0.6726482868141739
50,D,4,0.6664229614467299
51,D#/Eb,4,0.4252717920557696
52,E,4,0.7087024851744034
53,F,4,0.36885121502671847
54,F#/Gb,4,0.4946228865934638
55,G,4,1.0
56,G#/Ab,4,0.8695483882015981
57,A,4,0.2750782516442746
58,A#/Bb,4,0.23315143433577665
59,B,4,0.1389410616728704
60,C,5,0.3770971477938664
61,C#/Db,5,0.6325281285116271
62,D,5,0.6657410283320843
63,D#/Eb,5,0.4240652892564333
