Note,Mean,Median
A,0.2367109539833309,0.1726784147950342
A#/Bb,0.33121954301412004,0.21820806507743715
B,0.26784526576167794,0.1703934221782863
C,0.18008748179969564,0.12784405387643638
C#/Db,0.34724790627645263,0.2105557538253065
D,0.19063317991587111,0.14577472801443325
D#/Eb,0.35541613214488166,0.1909656477632053
E,0.24015191529733995,0.15135262191808901
F,0.22242607612739,0.1604487544865651
F#/Gb,0.41215902092919343,0.2771465198339427
G,0.3090934668467466,0.22701449779369612
G#/Ab,0.45210643353127455,0.3249808555845852
