,Note,Time,value
0,C,0,0.12901310721713008
1,C#/Db,0,0.1427450370206365
2,D,0,0.38570974699418065
3,D#/Eb,0,1.0
4,E,0,0.6186193050031146
5,F,0,0.5420102457318386
6,F#/Gb,0,0.5355770213702249
7,G,0,0.47454785749380696
8,G#/Ab,0,0.3280646612732331
9,A,0,0.15280880955450257
10,A#/Bb,0,0.5612795833613695
11,B,0,0.5166465241202977
12,C,1,0.1886946748712738
13,C#/Db,1,0.24293201021821412
14,D,1,0.482644872963289
15,D#/Eb,1,1.0
16,E,1,0.73749947914186
17,F,1,0.6780309347029962
18,F#/Gb,1,0.5792973710431224
19,G,1,0.6955610413378426
20,G#/Ab,1,0.5079242256772933
21,A,1,0.23751243622920656
22,A#/Bb,1,0.6867791300130547
23,B,1,0.6807793779260121
24,C,2,0.20522681542550084
25,C#/Db,2,0.22577638741118358
26,D,2,0.5329623233425477
27,D#/Eb,2,1.0
28,E,2,0.7620138145679378
29,F,2,0.7996478835350933
30,F#/Gb,2,0.5793921721207924
31,G,2,0.9321085903852507
32,G#/Ab,2,0.4767891504735413
33,A,2,0.225652798809905
34,A#/Bb,2,0.9588264159079787
35,B,2,0.6705579882270805
36,C,3,0.1999633480679762
37,C#/Db,3,0.23571853309078195
38,D,3,0.5203794331726289
39,D#/Eb,3,0.9090437397758219
40,E,3,0.8588869421982748
41,F,3,0.7231367133895588
42,F#/Gb,3,0.4839360051667314
43,G,3,0.990207441861122
44,G#/Ab,3,0.5090026911162641
45,A,3,0.2716994901025145
46,A#/Bb,3,1.0
47,B,3,0.6119069652053415
48,C,4,0.31779728104822347
49,C#/Db,4,0.27531860801683006
50,D,4,0.5107824200278235
51,D#/Eb,4,1.0
52,E,4,0.9170154602235141
53,F,4,0.5775677540723232
54,F#/Gb,4,0.39734815281169805
55,G,4,0.6769553562981676
56,G#/Ab,4,0.556687000680845
57,A,4,0.26708513151026797
58,A#/Bb,4,0.9580527882658818
59,B,4,0.6254212691799691
60,C,5,0.24474850110935123
61,C#/Db,5,0.21239501289633092
62,D,5,0.3770808721477375
63,D#/Eb,5,1.0
64,E,5,0.9148229392121421
65,F,5,0.5368038406153707
66,F#/Gb,5,0.3354815404465458
67,G,5,0.5383145639072102
68,G#/Ab,5,0.395447231744853
69,A,5,0.22144516367854536
70,A#/Bb,5,0.7722059215029673
71,B,5,0.5465396042545501
72,C,6,0.38707240518090913
73,C#/Db,6,0.21620499302311588
74,D,6,0.3751111404253806
75,D#/Eb,6,1.0
76,E,6,0.956784801541428
77,F,6,0.949962452561958
78,F#/Gb,6,0.4452810531326718
79,G,6,0.6879200217569689
80,G#/Ab,6,0.5672257852621625
81,A,6,0.336775705343675
82,A#/Bb,6,0.6178979121305402
83,B,6,0.5607971302576069
84,C,7,0.32029127770331256
85,C#/Db,7,0.20920889008446794
86,D,7,0.32987262898855446
87,D#/Eb,7,1.0
88,E,7,0.8104369193107194
89,F,7,0.5809845268015197
90,F#/Gb,7,0.34338743678031874
91,G,7,0.7378767234167137
92,G#/Ab,7,0.5279161748115511
93,A,7,0.26678277319621185
94,A#/Bb,7,0.467914859948286
95,B,7,0.30760552792075924
96,C,8,0.2511270517049564
97,C#/Db,8,0.22115268559913825
98,D,8,0.26339093168578476
99,D#/Eb,8,1.0
100,E,8,0.6977980797703673
101,F,8,0.4415249191442068
102,F#/Gb,8,0.32289845463692335
103,G,8,0.6860646262882113
104,G#/Ab,8,0.3752483550464447
105,A,8,0.19427034700804746
106,A#/Bb,8,0.4743969481032291
107,B,8,0.2085786411869521
108,C,9,0.27699065111362736
109,C#/Db,9,0.22229700648018066
110,D,9,0.220089661833624
111,D#/Eb,9,1.0
112,E,9,0.6251936782045767
113,F,9,0.3868439226953394
114,F#/Gb,9,0.3433328721302706
115,G,9,0.8756551183571294
116,G#/Ab,9,0.48918245665446974
117,A,9,0.22596908365807541
118,A#/Bb,9,0.4860248314621782
119,B,9,0.29877633801616804
120,C,10,0.2420057756956294
121,C#/Db,10,0.16149414195181816
122,D,10,0.23103653961534798
123,D#/Eb,10,1.0
124,E,10,0.5573896554253234
125,F,10,0.4115641647263822
126,F#/Gb,10,0.3190257662476435
127,G,10,0.6658855954170784
128,G#/Ab,10,0.47835086391579795
129,A,10,0.22150690304182685
130,A#/Bb,10,0.4562763157274511
131,B,10,0.32472607131317865
132,C,11,0.2222403842158033
133,C#/Db,11,0.15969249194486765
134,D,11,0.22902032134505668
135,D#/Eb,11,1.0
136,E,11,0.5493038066836781
137,F,11,0.38341337054182295
138,F#/Gb,11,0.30422132513469424
139,G,11,0.6197574007230242
140,G#/Ab,11,0.3324839055488528
141,A,11,0.23128571345707866
142,A#/Bb,11,0.4394766660405347
143,B,11,0.32451119168850795
144,C,12,0.1504594948992595
145,C#/Db,12,0.11616531240309556
146,D,12,0.19083895127322684
147,D#/Eb,12,1.0
