Note,Mean,Median
A,0.39913363037321953,0.3509694219037619
A#/Bb,0.2736974585594903,0.18310055179889728
B,0.3160975487093484,0.2142741866485438
C,0.26740376076548894,0.2050339232900994
C#/Db,0.34516976104936903,0.2378060618934773
D,0.35515877976773463,0.2608412936147
D#/Eb,0.4362626391840833,0.366636014497816
E,0.4944170852325607,0.4332818011351287
F,0.3746913215670464,0.29496466002523425
F#/Gb,0.40545700253917805,0.3153250344176346
G,0.40061716378469053,0.32432382126871623
G#/Ab,0.5517475060395606,0.5075759579894141
