Note,Mean,Median
A,0.2048608940084876,0.11327507958407725
A#/Bb,0.33320592959100065,0.21548432272838586
B,0.44864917278236954,0.34094954994566706
C,0.1708289343798221,0.08879350796024761
C#/Db,0.2744036093374493,0.1326582124769375
D,0.2157416943212628,0.09426298182824547
D#/Eb,0.30600427214943565,0.14440503348127343
E,0.1987287238475553,0.09730667088669286
F,0.15038969846041,0.07965509075414186
F#/Gb,0.31724866857825307,0.18617830194632523
G,0.1414611881556585,0.07008364439337365
G#/Ab,0.19683850287498658,0.09512929047942277
