Note,Mean,Median
A,0.4434791793092861,0.33066082030875044
A#/Bb,0.41397127924143057,0.3139747672316629
B,0.35770819474072546,0.2715640692397843
C,0.4353854192872274,0.34689677843297473
C#/Db,0.3131824228175594,0.2720690267855717
D,0.4354879248453205,0.32192499141292596
D#/Eb,0.38637395789833145,0.30364207211510696
E,0.25614653149586125,0.19275251145237854
F,0.31645251305675004,0.2270538219295494
F#/Gb,0.39605435668018446,0.3209342327755823
G,0.46863456852877905,0.3455946891962161
G#/Ab,0.43561404474791715,0.3779371688618953
