Note,Mean,Median
A,0.21483645702140716,0.11167158777633239
A#/Bb,0.33859049848134853,0.17980097123563063
B,0.2074079324573822,0.11178635455333968
C,0.3053277713470268,0.1903779941066053
C#/Db,0.44520670951659386,0.3275958891040879
D,0.2008765526588037,0.11452410405648969
D#/Eb,0.28145111915649906,0.14164003013337992
E,0.1831385659303961,0.09697990711193885
F,0.39285318908101724,0.25510494149816265
F#/Gb,0.24197260160343637,0.12208667280427311
G,0.15115339507966183,0.09132342702577878
G#/Ab,0.2665033234645664,0.12244191825349265
