Note,Mean,Median
A,0.2861288478153157,0.21567397949376452
A#/Bb,0.2523000438030184,0.1937679182092743
B,0.5956822831708973,0.5648820274514499
C,0.19598740242579293,0.15582802435897913
C#/Db,0.2507223383147256,0.22143128304386253
D,0.31084430679152814,0.2742320149086869
D#/Eb,0.6705156768949275,0.6639185399650108
E,0.8642175857341998,1.0
F,0.1574989196064237,0.1300395448534339
F#/Gb,0.22523906397018256,0.1656168210560192
G,0.1414092314465956,0.09329750593576532
G#/Ab,0.17111894598336205,0.12317581441318683
