Note,Mean,Median
A,0.23403764933498383,0.18775918588638027
A#/Bb,0.3933059210025158,0.25723705670555114
B,0.1439723225920563,0.10238335016033658
C,0.25375485215667837,0.1550284106879076
C#/Db,0.18993463904907765,0.15661545039190153
D,0.2025948421040439,0.1252371245691074
D#/Eb,0.42135984849548375,0.3201114991235175
E,0.17511831709070527,0.1123851866804158
F,0.24801823234325832,0.17636903858003872
F#/Gb,0.32096597255006126,0.2088722431481096
G,0.3189810120543583,0.2506102925224107
G#/Ab,0.6318084128513058,0.7215825086067823
