,Note,Time,value
0,C,0,0.43408276921274874
1,C#/Db,0,0.36936473441477324
2,D,0,0.3384978118800524
3,D#/Eb,0,0.38446816322394395
4,E,0,0.46954468823512713
5,F,0,0.2717484429212588
6,F#/Gb,0,0.5691922307904462
7,G,0,0.4144221849211281
8,G#/Ab,0,0.9661649673650157
9,A,0,0.3421929149438002
10,A#/Bb,0,1.0
11,B,0,0.33848435829482443
12,C,1,0.38240181215968055
13,C#/Db,1,0.40104539912484366
14,D,1,0.3173963221751377
15,D#/Eb,1,0.4182660858095661
16,E,1,0.5158031337295467
17,F,1,0.4097752242300884
18,F#/Gb,1,0.5957754468706717
19,G,1,0.538173348506735
20,G#/Ab,1,0.8789687930911176
21,A,1,0.31913801785249135
22,A#/Bb,1,1.0
23,B,1,0.3676554516776958
24,C,2,0.38791224786365786
25,C#/Db,2,0.37233930705114193
26,D,2,0.3507547100781269
27,D#/Eb,2,0.429123110524051
28,E,2,0.6367677777938759
29,F,2,0.5241276715499772
30,F#/Gb,2,0.6881665577239899
31,G,2,0.6047558161907673
32,G#/Ab,2,0.7148031368629211
33,A,2,0.2992587943731395
34,A#/Bb,2,1.0
35,B,2,0.35852237734802544
36,C,3,0.4331014448614869
37,C#/Db,3,0.4773687497231708
38,D,3,0.4427359576275373
39,D#/Eb,3,0.577655043067653
40,E,3,0.9714020347633393
41,F,3,0.6396439104720326
42,F#/Gb,3,1.0
43,G,3,0.9812747191512685
44,G#/Ab,3,0.9698782592154203
45,A,3,0.44286980457048525
46,A#/Bb,3,0.9657631072095259
47,B,3,0.31907767157998
48,C,4,0.2818586387824913
49,C#/Db,4,0.37195064747436535
50,D,4,0.3354041470970144
51,D#/Eb,4,0.40294365401982113
52,E,4,0.7933731922777172
53,F,4,0.5064901317585626
54,F#/Gb,4,0.8083911118452124
55,G,4,1.0
56,G#/Ab,4,0.9064154950535047
57,A,4,0.5337621863286505
58,A#/Bb,4,0.49302631026509963
59,B,4,0.17838302576147477
60,C,5,0.21641169918523945
61,C#/Db,5,0.3098945898503532
62,D,5,0.24181509131395754
63,D#/Eb,5,0.29264135185899787
64,E,5,0.6664047326152805
65,F,5,0.40208666063725
66,F#/Gb,5,0.6435819501031673
67,G,5,1.0
68,G#/Ab,5,0.8919106554428622
69,A,5,0.6634314620701978
70,A#/Bb,5,0.34775395314109
71,B,5,0.11017143362047967
72,C,6,0.19646389477909731
73,C#/Db,6,0.24482373402393018
74,D,6,0.19420817368051094
75,D#/Eb,6,0.2316571021728027
76,E,6,0.5856728964873359
77,F,6,0.32144266690151935
78,F#/Gb,6,0.5586656195626549
79,G,6,1.0
80,G#/Ab,6,0.9481007748456057
81,A,6,0.7902020109735234
82,A#/Bb,6,0.4373009180946717
83,B,6,0.1290725967971822
84,C,7,0.21011842435895706
85,C#/Db,7,0.18445034101099347
86,D,7,0.16495761815702353
87,D#/Eb,7,0.18599763770233518
88,E,7,0.5039099887908075
89,F,7,0.25445659376898166
90,F#/Gb,7,0.5018082068201187
91,G,7,0.9825504403736762
92,G#/Ab,7,1.0
93,A,7,0.8890034204647983
94,A#/Bb,7,0.5787004692336177
95,B,7,0.23587216123081076
96,C,8,0.23929954074573562
97,C#/Db,8,0.20237360444888727
98,D,8,0.14444965998468984
99,D#/Eb,8,0.15062468404342716
100,E,8,0.4332436566178386
101,F,8,0.23444477895395185
102,F#/Gb,8,0.46818114496159247
103,G,8,0.9057494749523651
104,G#/Ab,8,1.0
105,A,8,0.9124241037770696
106,A#/Bb,8,0.6999021617572541
107,B,8,0.3501505808204269
108,C,9,0.28752086873419885
109,C#/Db,9,0.22356130264716728
110,D,9,0.16562582878199955
111,D#/Eb,9,0.14604572744306948
112,E,9,0.3849446951135484
113,F,9,0.2436145957859267
114,F#/Gb,9,0.46530782958137096
115,G,9,0.8486215888588712
116,G#/Ab,9,1.0
117,A,9,0.9333372071661254
118,A#/Bb,9,0.8169584595220444
119,B,9,0.48392034847461685
120,C,10,0.36664702689534073
121,C#/Db,10,0.2554217536406234
122,D,10,0.19213813097254623
123,D#/Eb,10,0.15910448041765662
124,E,10,0.3642795195017495
125,F,10,0.2642263624768868
126,F#/Gb,10,0.47254384857889425
127,G,10,0.8087508668079335
128,G#/Ab,10,1.0
129,A,10,0.9444959662687321
130,A#/Bb,10,0.943347616252649
131,B,10,0.6291008152684692
132,C,11,0.4120170721190035
133,C#/Db,11,0.2661976915546923
134,D,11,0.2195396488102989
135,D#/Eb,11,0.1753557871210072
136,E,11,0.3420586880555487
137,F,11,0.2869173591418549
138,F#/Gb,11,0.4646541925867565
139,G,11,0.7403535228170703
140,G#/Ab,11,0.9406578329844448
141,A,11,0.884479484578048
142,A#/Bb,11,1.0
143,B,11,0.709488663335102
144,C,12,0.42086584168747376
145,C#/Db,12,0.2577731252909062
146,D,12,0.22780846047058326
147,D#/Eb,12,0.1856578906781038
148,E,12,0.31195449672656067
149,F,12,0.2837416559075812
150,F#/Gb,12,0.44093279311197686
151,G,12,0.6542090033607318
152,G#/Ab,12,0.8520322973227655
153,A,12,0.7817654097333433
154,A#/Bb,12,1.0
155,B,12,0.7354949900685169
156,C,13,0.4202625318757761
157,C#/Db,13,0.25057319506351444
158,D,13,0.23753536424683017
159,D#/Eb,13,0.1970047326822961
160,E,13,0.29336117852502147
161,F,13,0.28400675995207236
162,F#/Gb,13,0.4235089722442532
163,G,13,0.5956818831505714
164,G#/Ab,13,0.7852390062266117
165,A,13,0.6906900527344293
166,A#/Bb,13,1.0
167,B,13,0.7387290603581659
168,C,14,0.41577051423655886
169,C#/Db,14,0.2413215965195249
170,D,14,0.2455441482632487
171,D#/Eb,14,0.2085267818931084
172,E,14,0.27819241885752805
173,F,14,0.28479486463852227
174,F#/Gb,14,0.40924706433210395
175,G,14,0.5554628301811476
176,G#/Ab,14,0.733585588673426
177,A,14,0.6139914559124398
178,A#/Bb,14,1.0
179,B,14,0.7386136312786163
180,C,15,0.4061083794480952
181,C#/Db,15,0.23296943206984425
182,D,15,0.24663212166679596
183,D#/Eb,15,0.22007766336486367
184,E,15,0.26325138864718756
185,F,15,0.28703971707119186
186,F#/Gb,15,0.3944613433616262
187,G,15,0.5164579562017209
188,G#/Ab,15,0.6941904512964513
189,A,15,0.5460032237971013
190,A#/Bb,15,1.0
191,B,15,0.731833611173323
192,C,16,0.39500811688771875
193,C#/Db,16,0.22739184070108268
194,D,16,0.2539929357578969
195,D#/Eb,16,0.2320726962999983
196,E,16,0.25404241524565363
197,F,16,0.2930203607266457
198,F#/Gb,16,0.3799713398648673
199,G,16,0.48815215420402897
200,G#/Ab,16,0.6659212344905495
201,A,16,0.49026487605508
202,A#/Bb,16,1.0
203,B,16,0.7210194389448091
204,C,17,0.38866503363715643
205,C#/Db,17,0.2251476794409429
206,D,17,0.2621037280774348
207,D#/Eb,17,0.2484190339422808
208,E,17,0.25979393626752995
209,F,17,0.308203502942444
210,F#/Gb,17,0.3759759487971525
211,G,17,0.4577293095307771
212,G#/Ab,17,0.6463405638724821
213,A,17,0.44885930897731985
214,A#/Bb,17,1.0
215,B,17,0.7095793816860355
216,C,18,0.38026773842082545
217,C#/Db,18,0.23314308686009302
218,D,18,0.27983237712149733
219,D#/Eb,18,0.27617319938085233
220,E,18,0.27499900301697616
221,F,18,0.3422718100501403
222,F#/Gb,18,0.38452960714307993
223,G,18,0.4436672155668772
224,G#/Ab,18,0.6497249823085484
225,A,18,0.4335540957431663
226,A#/Bb,18,1.0
227,B,18,0.6938033570596209
228,C,19,0.3796611096502172
229,C#/Db,19,0.2561835800552431
230,D,19,0.2915125313245815
231,D#/Eb,19,0.30706404102572193
232,E,19,0.29086962306366165
233,F,19,0.3722581124102818
234,F#/Gb,19,0.39134494319543145
235,G,19,0.43238439139696566
236,G#/Ab,19,0.6608286019555072
237,A,19,0.4476639781967012
238,A#/Bb,19,1.0
239,B,19,0.6821608231771512
