Note,Mean,Median
A,0.266981725669521,0.1555643414727358
A#/Bb,0.22550583610124433,0.15051815175169486
B,0.31240151449587616,0.2159413247015316
C,0.5106994462700923,0.421294449276965
C#/Db,0.25294596987422896,0.17717039926051964
D,0.26865664623260466,0.14181376122940687
D#/Eb,0.2060126650267863,0.11214280517560427
E,0.3002408500550774,0.1858645206757053
F,0.2728697501094822,0.16854756320308406
F#/Gb,0.23390758710289475,0.1443452870719541
G,0.4379391241794332,0.2966958815892783
G#/Ab,0.22227658730457614,0.13667427957288922
