,Note,Time,value
0,C,0,0.03808599994840934
1,C#/Db,0,0.052630055508974455
2,D,0,0.046021127620595265
3,D#/Eb,0,0.05527273913892515
4,E,0,0.1913489956766049
5,F,0,0.36530563571101926
6,F#/Gb,0,0.5378716280666341
7,G,0,0.41287054956620656
8,G#/Ab,0,1.0
9,A,0,0.5050957993032447
10,A#/Bb,0,0.32360787204501185
11,B,0,0.5959989960698343
12,C,1,0.2732465241280423
13,C#/Db,1,0.04130424397309598
14,D,1,0.05053484493510502
15,D#/Eb,1,0.0759593359458265
16,E,1,0.22771785093951347
17,F,1,0.3878833570988107
18,F#/Gb,1,0.6385155945712085
19,G,1,0.5306209726565492
20,G#/Ab,1,1.0
21,A,1,0.693897650758441
22,A#/Bb,1,0.5182677907559334
23,B,1,0.8133618047202645
24,C,2,0.5370033125509674
25,C#/Db,2,0.05413769575683313
26,D,2,0.06352579473729598
27,D#/Eb,2,0.11850232481261146
28,E,2,0.297549995713624
29,F,2,0.5175031373408481
30,F#/Gb,2,0.7919423399731391
31,G,2,0.9187790227997435
32,G#/Ab,2,0.9731057241641923
33,A,2,1.0
34,A#/Bb,2,0.5193511495340812
35,B,2,0.9782464734445773
36,C,3,0.5268206294438095
37,C#/Db,3,0.09239891394670338
38,D,3,0.0675729564608241
39,D#/Eb,3,0.16685883213939712
40,E,3,0.3451500607336014
41,F,3,0.4664887509024293
42,F#/Gb,3,0.7125708607224415
43,G,3,1.0
44,G#/Ab,3,0.6673261068933473
45,A,3,0.9581582842084666
46,A#/Bb,3,0.5487565755125359
47,B,3,0.9004851958089125
48,C,4,0.3644402905970518
49,C#/Db,4,0.09188115874181015
50,D,4,0.0545378613105721
51,D#/Eb,4,0.16070050213613132
52,E,4,0.3639881628052332
53,F,4,0.4375903786517444
54,F#/Gb,4,0.6593161079912326
55,G,4,1.0
56,G#/Ab,4,0.9354989433379649
57,A,4,0.9055128186788926
58,A#/Bb,4,0.6314626925675473
59,B,4,0.8127541098148064
60,C,5,0.1346035622657603
61,C#/Db,5,0.06641314409250658
62,D,5,0.03129459039477265
63,D#/Eb,5,0.09640566789437588
64,E,5,0.2718974762827264
65,F,5,0.32877505687834624
66,F#/Gb,5,0.49858268329927524
67,G,5,0.6746244809369915
68,G#/Ab,5,1.0
69,A,5,0.5962628906810785
70,A#/Bb,5,0.5184143217650159
71,B,5,0.5648248645629823
72,C,6,0.2769493044986097
73,C#/Db,6,0.03650434865961299
74,D,6,0.062932655199144
75,D#/Eb,6,0.07159462795632161
76,E,6,0.2170172843761749
77,F,6,0.2725578627335581
78,F#/Gb,6,0.4914835364593247
79,G,6,0.4642089233890902
80,G#/Ab,6,1.0
81,A,6,0.4393075308056804
82,A#/Bb,6,0.36290658632490025
83,B,6,0.617934986320085
84,C,7,0.3979234594479071
85,C#/Db,7,0.03593000166107139
86,D,7,0.07807285324411264
87,D#/Eb,7,0.06841327636969047
88,E,7,0.2231380347849289
89,F,7,0.3002193091732089
90,F#/Gb,7,0.5646112002724376
91,G,7,0.46901769880946387
92,G#/Ab,7,1.0
93,A,7,0.5472387439239209
94,A#/Bb,7,0.38452438366531727
95,B,7,0.7223704115938469
96,C,8,0.586400167767527
97,C#/Db,8,0.05651162859091378
98,D,8,0.08853534126698043
99,D#/Eb,8,0.07639810061351851
100,E,8,0.302490585128423
101,F,8,0.38590779409457543
102,F#/Gb,8,0.7651158519489679
103,G,8,0.6326486229076445
104,G#/Ab,8,1.0
105,A,8,0.9708339679308865
106,A#/Bb,8,0.3792417495011029
107,B,8,0.8417328899614234
108,C,9,0.36146860142285814
109,C#/Db,9,0.0686407000626633
110,D,9,0.0989222323773187
111,D#/Eb,9,0.08689278237788454
112,E,9,0.295870751027006
113,F,9,0.36782122816299084
114,F#/Gb,9,0.6998244551535999
115,G,9,0.6173202249484071
116,G#/Ab,9,0.6551540482529429
117,A,9,1.0
118,A#/Bb,9,0.344312942113893
119,B,9,0.618109791049233
120,C,10,0.2512151611583636
121,C#/Db,10,0.07006580581293435
122,D,10,0.11666222751392544
123,D#/Eb,10,0.1472858658917313
124,E,10,0.3467072230091836
125,F,10,0.38724131620111546
126,F#/Gb,10,0.7909517465283704
127,G,10,0.7296182899410605
