Note,Mean,Median
A,0.4877022483864609,0.3920139460437444
A#/Bb,0.2791165711272657,0.17384570433223637
B,0.17825860676274294,0.1269432850896788
C,0.5047321361277742,0.43181477471438284
C#/Db,0.23855844244797386,0.15382311614083916
D,0.3247229725432855,0.2054297594211315
D#/Eb,0.16090313022590405,0.10508596463699595
E,0.30684486313024767,0.22064179527386296
F,0.44118204050403925,0.32690328387255635
F#/Gb,0.23401634114229894,0.1768955470524248
G,0.4407276867302091,0.3354708798696237
G#/Ab,0.22459329870308092,0.16525693277282663
