,Note,Time,value
0,C,0,0.6705550547414388
1,C#/Db,0,1.0
2,D,0,0.7448454073269885
3,D#/Eb,0,0.7499207711364533
4,E,0,0.5939252294203581
5,F,0,0.6633858472262832
6,F#/Gb,0,0.6670620437256658
7,G,0,0.35271990853974716
8,G#/Ab,0,0.29925482852225643
9,A,0,0.35326244326436607
10,A#/Bb,0,0.25569883055137255
11,B,0,0.42115602627175136
12,C,1,0.6606031317435606
13,C#/Db,1,1.0
14,D,1,0.8626888722788211
15,D#/Eb,1,0.6851689665358518
16,E,1,0.658180705083995
17,F,1,0.6807699613438605
18,F#/Gb,1,0.7928141768130673
19,G,1,0.36272609889599683
20,G#/Ab,1,0.388356392223868
21,A,1,0.3076283917164178
22,A#/Bb,1,0.2548250956659203
23,B,1,0.42752188644399897
24,C,2,0.5609883299533371
25,C#/Db,2,1.0
26,D,2,0.9397128310433744
27,D#/Eb,2,0.7254016520308837
28,E,2,0.7323728935298075
29,F,2,0.6585619687355054
30,F#/Gb,2,0.8085596567593917
31,G,2,0.3860037761630879
32,G#/Ab,2,0.4526374109884294
33,A,2,0.16956898851482483
34,A#/Bb,2,0.3099317991660923
35,B,2,0.3877171138334268
36,C,3,0.5070008064678999
37,C#/Db,3,1.0
38,D,3,0.8626648755786166
39,D#/Eb,3,0.8951913338752536
40,E,3,0.861888012109849
41,F,3,0.7097985385163661
42,F#/Gb,3,0.7407536274194414
43,G,3,0.3570268413760539
44,G#/Ab,3,0.5512600881313465
45,A,3,0.41029749649307623
46,A#/Bb,3,0.3889232412418767
47,B,3,0.4047828006463432
48,C,4,0.5921114773249516
49,C#/Db,4,1.0
50,D,4,0.8020742603242005
51,D#/Eb,4,0.8793605076199361
52,E,4,0.8941235628474596
53,F,4,0.6792121848320342
54,F#/Gb,4,0.7326519398626548
55,G,4,0.3603432366171909
56,G#/Ab,4,0.5379923896172948
57,A,4,0.35733628421425034
58,A#/Bb,4,0.4621234875239339
59,B,4,0.4425882680956254
60,C,5,0.5997178346058974
61,C#/Db,5,1.0
62,D,5,0.7711507930984891
63,D#/Eb,5,0.7800574495110546
64,E,5,0.8322087450198219
65,F,5,0.7177616263988073
66,F#/Gb,5,0.6966097073622057
67,G,5,0.44761017796262786
68,G#/Ab,5,0.717892632178202
69,A,5,0.6128210485127271
70,A#/Bb,5,0.5203715958548423
71,B,5,0.6159738388265324
72,C,6,0.6803130930416396
73,C#/Db,6,1.0
74,D,6,0.7178265352009484
75,D#/Eb,6,0.833198666165599
76,E,6,0.7975334295816392
77,F,6,0.6970223620577556
78,F#/Gb,6,0.5489446101549441
79,G,6,0.5096435070525643
80,G#/Ab,6,0.7653427795512675
81,A,6,0.7256750205604219
82,A#/Bb,6,0.534706884478579
83,B,6,0.7632183870415833
84,C,7,0.6270296577465995
85,C#/Db,7,1.0
86,D,7,0.5484550423458525
87,D#/Eb,7,0.7714648424895868
88,E,7,0.7160693748494047
89,F,7,0.7125530994811562
90,F#/Gb,7,0.43236286017849984
91,G,7,0.5370753106734862
92,G#/Ab,7,0.7804276260257766
93,A,7,0.6836085591975187
94,A#/Bb,7,0.5148552440930182
95,B,7,0.8139726216358739
96,C,8,0.6601928988637379
97,C#/Db,8,1.0
98,D,8,0.5054187258211241
99,D#/Eb,8,0.7679229327759651
100,E,8,0.6403140907063372
101,F,8,0.781788536951949
102,F#/Gb,8,0.3488589886818959
103,G,8,0.5989116985612726
104,G#/Ab,8,0.7955651474851672
105,A,8,0.6733691848242209
106,A#/Bb,8,0.5096013791794449
107,B,8,0.8096052317606052
108,C,9,0.685157638758052
109,C#/Db,9,1.0
110,D,9,0.47349374293664226
111,D#/Eb,9,0.7618803718381412
112,E,9,0.6084766802852262
113,F,9,0.7619866830764755
114,F#/Gb,9,0.3354110322037047
115,G,9,0.6418749362994494
116,G#/Ab,9,0.8003015769769387
117,A,9,0.5447235056615704
118,A#/Bb,9,0.49671755137955853
119,B,9,0.736277183645315
120,C,10,0.707321492480122
121,C#/Db,10,1.0
122,D,10,0.4993545171267742
123,D#/Eb,10,0.7574251580811876
124,E,10,0.6536617207677029
125,F,10,0.8198713349274518
126,F#/Gb,10,0.4557090592160081
127,G,10,0.7334890931898701
128,G#/Ab,10,0.8486839117752314
129,A,10,0.5161360812786204
130,A#/Bb,10,0.5375984431924565
131,B,10,0.7007270245029303
132,C,11,0.7559365824094574
133,C#/Db,11,1.0
134,D,11,0.49974879347336854
135,D#/Eb,11,0.7043606684220691
136,E,11,0.7517976706790129
137,F,11,0.959849542195786
138,F#/Gb,11,0.6433613885140408
139,G,11,0.7727795914079864
140,G#/Ab,11,0.8140258071807616
141,A,11,0.463762398662484
142,A#/Bb,11,0.6053894435674446
143,B,11,0.6545188950381697
144,C,12,0.6338573632605969
145,C#/Db,12,0.8705371900996332
146,D,12,0.47681216601819904
147,D#/Eb,12,0.6377207599524146
148,E,12,0.7870246387191585
149,F,12,1.0
150,F#/Gb,12,0.6219362212409149
151,G,12,0.6692800252850034
152,G#/Ab,12,0.6606533560280323
153,A,12,0.32591966531625277
154,A#/Bb,12,0.5170754964289063
155,B,12,0.509107908040021
156,C,13,0.4896834515483645
157,C#/Db,13,0.6984631876561594
158,D,13,0.45496231581947244
159,D#/Eb,13,0.5927060143203648
160,E,13,0.8186011702015722
161,F,13,1.0
162,F#/Gb,13,0.4720567018984165
163,G,13,0.5439383336840138
164,G#/Ab,13,0.49283266319305724
165,A,13,0.2452153411568224
166,A#/Bb,13,0.38320749730211257
167,B,13,0.38145539704918446
168,C,14,0.3995525061371824
169,C#/Db,14,0.6122999020464468
170,D,14,0.4310204883793559
171,D#/Eb,14,0.557658718571567
172,E,14,0.8418482417591479
173,F,14,1.0
174,F#/Gb,14,0.35427721893754677
175,G,14,0.4343448036384106
176,G#/Ab,14,0.3610316556838213
177,A,14,0.17737749173675357
178,A#/Bb,14,0.28127884504322037
179,B,14,0.27975403962066697
180,C,15,0.32348055228557826
181,C#/Db,15,0.5522113666454693
182,D,15,0.3867946370992012
183,D#/Eb,15,0.5289427850690527
184,E,15,0.8150089269195785
185,F,15,1.0
186,F#/Gb,15,0.34916829480864187
187,G,15,0.3563415164662764
188,G#/Ab,15,0.2736979638776118
189,A,15,0.12743459444220254
190,A#/Bb,15,0.2039062592471379
191,B,15,0.2119977483270766
192,C,16,0.26969272671259914
193,C#/Db,16,0.5074859171061836
194,D,16,0.37266258351690934
195,D#/Eb,16,0.4994562125070796
196,E,16,0.7906028446979462
197,F,16,1.0
198,F#/Gb,16,0.38530700753435093
199,G,16,0.29988900888799636
200,G#/Ab,16,0.21360379219699238
201,A,16,0.10109863923072296
202,A#/Bb,16,0.15708956868436746
203,B,16,0.17618136098362144
204,C,17,0.2424026096636839
205,C#/Db,17,0.5376777098814067
206,D,17,0.46505472865435793
207,D#/Eb,17,0.5948393620302478
208,E,17,0.786815380858211
209,F,17,1.0
210,F#/Gb,17,0.4288724961526168
211,G,17,0.2559479425601644
212,G#/Ab,17,0.17789085078218952
213,A,17,0.08899315396996962
214,A#/Bb,17,0.1298355688134806
215,B,17,0.15259110615547658
216,C,18,0.19613513059369345
217,C#/Db,18,0.5874455674677649
218,D,18,1.0
219,D#/Eb,18,0.8007822852867053
220,E,18,0.5324427528863889
221,F,18,0.6784151583866607
222,F#/Gb,18,0.32104389827733515
223,G,18,0.15358572424258962
224,G#/Ab,18,0.10664245169309564
225,A,18,0.07435284981933976
226,A#/Bb,18,0.08060351069857276
227,B,18,0.10430919182921769
228,C,19,0.062093964439203474
229,C#/Db,19,0.3470099657995832
230,D,19,1.0
231,D#/Eb,19,0.47562303839283604
232,E,19,0.19961005143531263
233,F,19,0.1965823553834607
234,F#/Gb,19,0.11097215366086181
235,G,19,0.040829740050081706
236,G#/Ab,19,0.029725939080044683
237,A,19,0.03823227644204113
238,A#/Bb,19,0.02583606018973544
239,B,19,0.03525305804034801
240,C,20,0.06751075642114171
241,C#/Db,20,0.2181016253913285
242,D,20,1.0
243,D#/Eb,20,0.2703848167310566
244,E,20,0.09338933725214385
245,F,20,0.07846688710495231
246,F#/Gb,20,0.07677338119163969
247,G,20,0.01655513515170207
248,G#/Ab,20,0.020990367530555984
249,A,20,0.11095637159222904
250,A#/Bb,20,0.025298921463419555
251,B,20,0.023432680315872915
252,C,21,0.05719355828537741
253,C#/Db,21,0.152552617647588
254,D,21,1.0
255,D#/Eb,21,0.16572008923960352
256,E,21,0.07128302396250645
257,F,21,0.05762172211632403
258,F#/Gb,21,0.0675359403554921
259,G,21,0.011206598834230055
260,G#/Ab,21,0.017001346320859017
261,A,21,0.19951126127657545
262,A#/Bb,21,0.023919645952298264
263,B,21,0.016270575005417988
264,C,22,0.039345143232596434
265,C#/Db,22,0.12246298993364439
266,D,22,1.0
267,D#/Eb,22,0.09888242030895741
268,E,22,0.07633852071343157
269,F,22,0.05984630006151349
270,F#/Gb,22,0.07711631357987145
271,G,22,0.011843330011066782
272,G#/Ab,22,0.015499020843378841
273,A,22,0.17893081779296005
274,A#/Bb,22,0.024717112440385963
275,B,22,0.013903998522770912
276,C,23,0.029386768764775324
277,C#/Db,23,0.11726335240606643
278,D,23,1.0
279,D#/Eb,23,0.055627405318863885
280,E,23,0.07547882426525065
281,F,23,0.06052674041867261
282,F#/Gb,23,0.07736526601904715
283,G,23,0.013631728468026533
284,G#/Ab,23,0.012787616844281256
285,A,23,0.11596385062424734
286,A#/Bb,23,0.015164258493411898
287,B,23,0.011611114629581056
288,C,24,0.025957363691563415
289,C#/Db,24,0.1352310104742691
290,D,24,1.0
291,D#/Eb,24,0.04976429297001838
292,E,24,0.07619247100506424
293,F,24,0.060766125150770504
294,F#/Gb,24,0.05965218042474868
295,G,24,0.014910075265311507
296,G#/Ab,24,0.013834554819719243
297,A,24,0.08854759063445253
298,A#/Bb,24,0.018743506743740493
299,B,24,0.011684932985710201
300,C,25,0.03907415615508409
301,C#/Db,25,0.14404984499834309
302,D,25,1.0
303,D#/Eb,25,0.04900563920101551
304,E,25,0.08138972759792967
305,F,25,0.06464706013008774
306,F#/Gb,25,0.0652192205171116
307,G,25,0.018119603308593
308,G#/Ab,25,0.0187870216054739
309,A,25,0.11784020942950346
310,A#/Bb,25,0.02483717985914812
311,B,25,0.02079943653964423
312,C,26,0.050344496944739366
313,C#/Db,26,0.1522654894374597
314,D,26,1.0
315,D#/Eb,26,0.06440347576767345
316,E,26,0.09528238862561546
317,F,26,0.07355199227145873
318,F#/Gb,26,0.07579995011673747
319,G,26,0.0193984837856494
320,G#/Ab,26,0.025612283173947713
321,A,26,0.18153277168624887
322,A#/Bb,26,0.03760353873721503
323,B,26,0.03219831531358422
324,C,27,0.07598665635100486
325,C#/Db,27,0.15614175568683764
326,D,27,1.0
327,D#/Eb,27,0.08094260969555629
328,E,27,0.10506870462922595
329,F,27,0.09773062488692012
330,F#/Gb,27,0.10049418316033806
331,G,27,0.02856179765450621
332,G#/Ab,27,0.03344848563388358
333,A,27,0.16558605906716187
334,A#/Bb,27,0.04612333268440353
335,B,27,0.041676826255608916
336,C,28,0.10037418268995602
337,C#/Db,28,0.1942581804519557
