Note,Mean,Median
A,0.5642656151268193,0.4998558209347832
A#/Bb,0.29455137345067534,0.2577644427847861
B,0.3564730141390937,0.3127009685338107
C,0.23957150708079727,0.21069729086676015
C#/Db,0.32954022556893203,0.2788672916591707
D,0.3722246758190768,0.20228689864118246
D#/Eb,0.20493145106617136,0.18283616229648894
E,0.44692068418639613,0.2921008860139159
F,0.34127867084597546,0.29038840172118746
F#/Gb,0.46340693255876847,0.3633599908775421
G,0.227504547235352,0.20389558166438898
G#/Ab,0.2203459261362644,0.1973198028769459
