Note,Mean,Median
A,0.4976445563589487,0.4703835793242904
A#/Bb,0.4372699595261659,0.4112685414663663
B,0.47048169998704414,0.4429156239912085
C,0.41169776225040283,0.38065471888034397
C#/Db,0.5936879386693469,0.4877047447459181
D,0.3595294867349079,0.32828345481066584
D#/Eb,0.38674648240725396,0.3596387259890697
E,0.5219533917918835,0.3942099740837901
F,0.36312690986087115,0.3347462747824401
F#/Gb,0.5476280254446553,0.4619518683495837
G,0.5443300156453698,0.5238179268165306
G#/Ab,0.6975940040281472,0.6845376603646205
