,Note,Time,value
0,C,0,0.09454019216909469
1,C#/Db,0,0.08827380111091968
2,D,0,0.10301499360839031
3,D#/Eb,0,0.0792267000360651
4,E,0,0.07691792382847229
5,F,0,0.09768170399508821
6,F#/Gb,0,0.07306749700783333
7,G,0,1.0
8,G#/Ab,0,0.7126860250215716
9,A,0,0.16861286103813866
10,A#/Bb,0,0.2924934469243125
11,B,0,0.35157891562410915
12,C,1,0.1002310936124401
13,C#/Db,1,0.09217492269214506
14,D,1,0.11546273303588961
15,D#/Eb,1,0.08537114797615268
16,E,1,0.08463568662970442
17,F,1,0.10659559743863105
18,F#/Gb,1,0.07887540481123215
19,G,1,1.0
20,G#/Ab,1,0.7302921118372216
21,A,1,0.1831114807151031
22,A#/Bb,1,0.3209311146168902
23,B,1,0.373667961737232
24,C,2,0.101249866142597
25,C#/Db,2,0.0853960682913914
26,D,2,0.12826707530246786
27,D#/Eb,2,0.08786275428905649
28,E,2,0.08187458930563343
29,F,2,0.11242267512712706
30,F#/Gb,2,0.09171596528146111
31,G,2,1.0
32,G#/Ab,2,0.724128330469908
33,A,2,0.1839400952629519
34,A#/Bb,2,0.35560530444842403
35,B,2,0.4046519605444627
36,C,3,0.10334716094342264
37,C#/Db,3,0.08547187829166426
38,D,3,0.1398725976315868
39,D#/Eb,3,0.09098419974307834
40,E,3,0.07887084462861944
41,F,3,0.10796182981591992
42,F#/Gb,3,0.10034374686905828
43,G,3,1.0
44,G#/Ab,3,0.7062069622014134
45,A,3,0.17516609684715878
46,A#/Bb,3,0.3954081763293263
47,B,3,0.4303852988366539
48,C,4,0.10449284103035095
49,C#/Db,4,0.08802040195620507
50,D,4,0.14950459818551698
51,D#/Eb,4,0.09899173844512926
52,E,4,0.0784245018281252
53,F,4,0.11166988214820452
54,F#/Gb,4,0.10587552070068061
55,G,4,1.0
56,G#/Ab,4,0.6781377165244313
57,A,4,0.18058092799120334
58,A#/Bb,4,0.4190535111211098
59,B,4,0.45842687901683365
60,C,5,0.10519078616627607
61,C#/Db,5,0.07813784811798975
62,D,5,0.16303869079320268
63,D#/Eb,5,0.10326224615615509
64,E,5,0.08556312120656755
65,F,5,0.10984572427149374
66,F#/Gb,5,0.11662274569404789
67,G,5,1.0
68,G#/Ab,5,0.6561878612369085
69,A,5,0.17553393402807052
70,A#/Bb,5,0.4503984142026301
71,B,5,0.49417842496807907
72,C,6,0.0994725759330915
73,C#/Db,6,0.07722029022700652
74,D,6,0.17292548200433758
75,D#/Eb,6,0.11816629686973368
76,E,6,0.08576277075570667
77,F,6,0.11620769393879776
78,F#/Gb,6,0.10998016840622195
79,G,6,1.0
80,G#/Ab,6,0.6407574889606057
81,A,6,0.1726979336125606
82,A#/Bb,6,0.4577026973905115
83,B,6,0.4945850654736866
84,C,7,0.11450154819443722
85,C#/Db,7,0.07862631057207915
86,D,7,0.1992372146167835
87,D#/Eb,7,0.15827646622608962
88,E,7,0.09995961547079066
89,F,7,0.10758108926094555
90,F#/Gb,7,0.10922660013696225
91,G,7,1.0
92,G#/Ab,7,0.6692673673530303
93,A,7,0.20078571521904037
94,A#/Bb,7,0.4547949002812737
95,B,7,0.5019010137536793
96,C,8,0.18022646930715291
97,C#/Db,8,0.0905704006083199
98,D,8,0.25872253369568765
99,D#/Eb,8,0.40640284553485095
100,E,8,0.18373423073172554
101,F,8,0.10406278623259993
102,F#/Gb,8,0.10270579819751269
103,G,8,1.0
104,G#/Ab,8,0.7822477309866549
105,A,8,0.2511932848363
106,A#/Bb,8,0.4544972458353274
107,B,8,0.535053381533167
108,C,9,0.31572657550840655
109,C#/Db,9,0.08420921102217996
110,D,9,0.2575060067423837
111,D#/Eb,9,1.0
112,E,9,0.24917405753354
113,F,9,0.09837284890353654
114,F#/Gb,9,0.11049126092713821
115,G,9,0.7682793785460617
116,G#/Ab,9,0.8591779376466453
117,A,9,0.21569330082867305
118,A#/Bb,9,0.3849800097057809
119,B,9,0.4390803449985711
120,C,10,0.2807691139240242
121,C#/Db,10,0.04334506049771518
122,D,10,0.13317489344929387
123,D#/Eb,10,1.0
124,E,10,0.14747359337143676
125,F,10,0.06237439566825785
126,F#/Gb,10,0.12248367997834925
127,G,10,0.35831933140911437
128,G#/Ab,10,0.6119210968647414
129,A,10,0.10499637559230131
130,A#/Bb,10,0.23508934038612767
131,B,10,0.19251476924840347
132,C,11,0.3070894475872317
133,C#/Db,11,0.03330644040518644
134,D,11,0.09815523404788877
135,D#/Eb,11,1.0
136,E,11,0.11847865897982877
137,F,11,0.048467895432218966
138,F#/Gb,11,0.12769827017346347
139,G,11,0.23366321406809673
140,G#/Ab,11,0.5446708384019058
141,A,11,0.07404533809105356
142,A#/Bb,11,0.19590605285226662
143,B,11,0.11555129191351593
144,C,12,0.36398246581854116
145,C#/Db,12,0.028411884465931216
146,D,12,0.08436796867269553
147,D#/Eb,12,1.0
148,E,12,0.10540363958273113
149,F,12,0.053876977482079084
150,F#/Gb,12,0.12487617581147624
151,G,12,0.18471680146208067
152,G#/Ab,12,0.5259691616592329
153,A,12,0.05879123345125631
154,A#/Bb,12,0.17488080962133237
155,B,12,0.0896403120609377
156,C,13,0.40528938662473757
157,C#/Db,13,0.032424228888375276
158,D,13,0.06379444291762816
159,D#/Eb,13,1.0
160,E,13,0.10679022599201288
161,F,13,0.05635130573108023
162,F#/Gb,13,0.13285085022153015
163,G,13,0.15226434180028675
164,G#/Ab,13,0.5661955955512483
165,A,13,0.05630195153596041
166,A#/Bb,13,0.16481860509576635
167,B,13,0.07987363312113285
168,C,14,0.40421276340106227
169,C#/Db,14,0.040113782259665665
