Note,Mean,Median
A,0.32825847624256094,0.271495678978985
A#/Bb,0.3674939747631671,0.2716709225777961
B,0.2702518813110915,0.20530501716506613
C,0.5030842348468098,0.4355694601517882
C#/Db,0.3377793221918311,0.18062133452899376
D,0.19124980414408096,0.1365425916432936
D#/Eb,0.33219174461067735,0.24253918029854385
E,0.27105837638787,0.2476038120043929
F,0.5468070778080677,0.43530894922835556
F#/Gb,0.2432283381944948,0.20830025250506454
G,0.2696122573278987,0.2145450307251955
G#/Ab,0.4362208463521279,0.32625868704187555
