Note,Mean,Median
A,0.49254873777397057,0.400176164022939
A#/Bb,0.1639276162699811,0.13039279457366273
B,0.2873868173492226,0.17091941723463538
C,0.19280881080357945,0.15260404761542432
C#/Db,0.4624976292130358,0.38420964201375213
D,0.41943691455862964,0.30533158086043155
D#/Eb,0.21186719552854566,0.1697933604565004
E,0.4349794471438556,0.3032583623295592
F,0.1759717472204158,0.14865177144408945
F#/Gb,0.5992814307934096,0.578116240869647
G,0.1768987581992339,0.1380225599903968
G#/Ab,0.24029662260186557,0.15558350191120082
