Note,Mean,Median
A,0.39429697118392637,0.24601572610335481
A#/Bb,0.1789215915528492,0.15358596470538066
B,0.2741835869759112,0.21816475711242708
C,0.4387792800702104,0.32070071986844206
C#/Db,0.21990274403708687,0.19839854670584806
D,0.3049097585424987,0.2601695125418375
D#/Eb,0.2821437574756369,0.24621926473029526
E,0.49481334905843777,0.43859208750254547
F,0.5435117503156212,0.4425967622448161
F#/Gb,0.3532458332146641,0.3074953447268472
G,0.3747184803126659,0.24760599640359376
G#/Ab,0.27240905399676935,0.19383915933258455
