Note,Mean,Median
A,0.16201350734945316,0.1087631974917527
A#/Bb,0.3448551430071877,0.28310872445666047
B,0.18263591134950308,0.09662107734690323
C,0.1570003529349414,0.0851563303687293
C#/Db,0.20339650434946216,0.126908242627725
D,0.2390362898326757,0.18818903467761955
D#/Eb,0.8178281418533877,1.0
E,0.256876994935671,0.190758027385444
F,0.21427869028842228,0.13457483534670034
F#/Gb,0.17296033434383687,0.0995977771434027
G,0.1757968239788864,0.11508040602523445
G#/Ab,0.25104224402446557,0.11874053020731329
