,Note,Time,value
0,C,0,0.28374595377795514
1,C#/Db,0,0.10448110133425631
2,D,0,0.05508808806199306
3,D#/Eb,0,0.06458730190233943
4,E,0,0.05397385575060846
5,F,0,0.12641397755142314
6,F#/Gb,0,0.146936420502788
7,G,0,0.34294929247582456
8,G#/Ab,0,0.3138882334026632
9,A,0,0.33505754212916306
10,A#/Bb,0,1.0
11,B,0,0.21216505138012856
12,C,1,0.2648097685508022
13,C#/Db,1,0.11228802175460069
14,D,1,0.08371519812753304
15,D#/Eb,1,0.0950814377124198
16,E,1,0.08091928404153508
17,F,1,0.13880541593866733
18,F#/Gb,1,0.19874501910532932
19,G,1,0.39634490834575875
20,G#/Ab,1,0.47643101199478194
21,A,1,0.42260544266058137
22,A#/Bb,1,1.0
23,B,1,0.18576084811438176
24,C,2,0.17696863244614636
25,C#/Db,2,0.11790946150532304
26,D,2,0.06032949065619212
27,D#/Eb,2,0.11448594654734064
28,E,2,0.10977014629690998
29,F,2,0.1384957446892932
30,F#/Gb,2,0.2192187884835356
31,G,2,0.41838811067465337
32,G#/Ab,2,0.6246786359321885
33,A,2,0.5776431011925203
34,A#/Bb,2,1.0
35,B,2,0.3161230597575683
36,C,3,0.3866880632009981
37,C#/Db,3,0.19248803299286207
38,D,3,0.061998950015402086
39,D#/Eb,3,0.10257933231584898
40,E,3,0.1273989820142835
41,F,3,0.13596126143221116
42,F#/Gb,3,0.21296527763333767
43,G,3,0.4107729486232659
44,G#/Ab,3,0.7258180798016406
45,A,3,0.7069483279332734
46,A#/Bb,3,1.0
47,B,3,0.7443872385090164
48,C,4,0.6621366759931522
49,C#/Db,4,0.226019448218092
50,D,4,0.07607467599405074
51,D#/Eb,4,0.06280648647315829
52,E,4,0.100035893745359
53,F,4,0.09303538035031574
54,F#/Gb,4,0.14085356651855807
55,G,4,0.2943295487729654
56,G#/Ab,4,0.5696960942566994
57,A,4,0.5798784938368584
58,A#/Bb,4,0.6172872893653869
59,B,4,1.0
60,C,5,0.6877735548029443
61,C#/Db,5,0.16792050339500694
62,D,5,0.06164756560420072
63,D#/Eb,5,0.034523700278200925
64,E,5,0.06423222887239466
65,F,5,0.052064708189187126
66,F#/Gb,5,0.07941173618943248
67,G,5,0.16514313254554563
68,G#/Ab,5,0.3594609063499683
69,A,5,0.43385171478949086
70,A#/Bb,5,0.4484033964182871
71,B,5,1.0
72,C,6,0.6389080737955068
73,C#/Db,6,0.1180220538976573
74,D,6,0.054504521996866284
75,D#/Eb,6,0.029909572351856345
76,E,6,0.04287996493613413
77,F,6,0.033157473614077095
78,F#/Gb,6,0.05083466589272282
79,G,6,0.10072176780685525
80,G#/Ab,6,0.22900272266490934
81,A,6,0.31424509395164507
82,A#/Bb,6,0.4127532398578843
83,B,6,1.0
84,C,7,0.5612605452542315
85,C#/Db,7,0.07953232986046505
86,D,7,0.04357670660218874
87,D#/Eb,7,0.022347805724728886
88,E,7,0.027478580769146083
89,F,7,0.022513405593277396
90,F#/Gb,7,0.03488317370892288
91,G,7,0.061351806055015626
92,G#/Ab,7,0.14894099818981416
93,A,7,0.22402615904232706
94,A#/Bb,7,0.41866624622986087
95,B,7,1.0
96,C,8,0.42870384872783285
97,C#/Db,8,0.05807949077353642
98,D,8,0.03151927987933528
99,D#/Eb,8,0.014574156861673446
100,E,8,0.015638519440633006
101,F,8,0.02409493555206503
102,F#/Gb,8,0.04182493305144775
103,G,8,0.04734120268098598
104,G#/Ab,8,0.09462606005827032
105,A,8,0.16433386212026133
106,A#/Bb,8,0.3612381062427049
107,B,8,1.0
