Note,Mean,Median
A,0.3680751711403186,0.21352318641253765
A#/Bb,0.11818140920229075,0.06129792197515994
B,0.39983223225045705,0.2362996906289927
C,0.1252933948041907,0.0668053214269878
C#/Db,0.44245574972073615,0.34182134322346214
D,0.12082251395681767,0.06334741183103768
D#/Eb,0.2649317257938039,0.16235486763955131
E,0.357609784112199,0.26757151239795696
F,0.10361402888714447,0.05953618193572523
F#/Gb,0.3100300394329423,0.1348499328325615
G,0.15042837605183598,0.08490628569428876
G#/Ab,0.47415040645346723,0.401961542090195
