Note,Mean,Median
A,0.5266109121563066,0.4639202281580479
A#/Bb,0.38881748643849035,0.29159848844368097
B,0.21312428429434216,0.14681873526861194
C,0.3622734869481773,0.28260899553679103
C#/Db,0.1747633457992104,0.11362724911570452
D,0.36181465174518546,0.2833897937181885
D#/Eb,0.1813489701919529,0.11669330611492049
E,0.3054552996049467,0.20410882506125283
F,0.40837860945721,0.3279656272262928
F#/Gb,0.2448885597175694,0.17007595806558276
G,0.5169929872352584,0.4177024731909621
G#/Ab,0.2672583416288761,0.198885706262387
