,Note,Time,value
0,C,0,0.17171402334100902
1,C#/Db,0,0.331869806841172
2,D,0,0.4020990744635737
3,D#/Eb,0,1.0
4,E,0,0.6211869198198079
5,F,0,0.42165695467475134
6,F#/Gb,0,0.3532552359540013
7,G,0,0.08974809831014079
8,G#/Ab,0,0.06931812606391045
9,A,0,0.044369529820802174
10,A#/Bb,0,0.04563130487006
11,B,0,0.09070875902629871
12,C,1,0.15788668403971898
13,C#/Db,1,0.3118240862259639
14,D,1,0.4208390440888571
15,D#/Eb,1,1.0
16,E,1,0.9395283042498805
17,F,1,0.6568909323681296
18,F#/Gb,1,0.3843021594401486
19,G,1,0.13306617654832265
20,G#/Ab,1,0.08323810158189612
21,A,1,0.05278791368392255
22,A#/Bb,1,0.04167732315626938
23,B,1,0.08614844908206286
24,C,2,0.10708750792986081
25,C#/Db,2,0.20627481609983178
26,D,2,0.3157880345626381
27,D#/Eb,2,0.7549092185753681
28,E,2,1.0
29,F,2,0.6906483766489614
30,F#/Gb,2,0.3126167255600858
31,G,2,0.12754799631175387
32,G#/Ab,2,0.06866235012262464
33,A,2,0.03555569449011098
34,A#/Bb,2,0.02743218359980554
35,B,2,0.05847468203940864
36,C,3,0.0761530775695394
37,C#/Db,3,0.14304560516051404
38,D,3,0.24460977425514638
39,D#/Eb,3,0.604572439200968
40,E,3,1.0
41,F,3,0.6664284624861674
42,F#/Gb,3,0.2530301417781026
43,G,3,0.11203763909100432
44,G#/Ab,3,0.06025806747883098
45,A,3,0.029139488751457533
46,A#/Bb,3,0.018566695005246263
47,B,3,0.04136826952377481
48,C,4,0.05620177639591053
49,C#/Db,4,0.10591945528804604
50,D,4,0.19817506270266105
51,D#/Eb,4,0.5081320713566195
52,E,4,1.0
53,F,4,0.638503644660201
54,F#/Gb,4,0.21828960574038664
55,G,4,0.09890113677421039
56,G#/Ab,4,0.052369206997645176
57,A,4,0.023312554654147274
58,A#/Bb,4,0.013546424087101263
59,B,4,0.030746648900909942
60,C,5,0.04752335636170888
61,C#/Db,5,0.08152690463395688
62,D,5,0.1626375793210191
63,D#/Eb,5,0.4326321947097849
64,E,5,1.0
65,F,5,0.607954333846096
66,F#/Gb,5,0.19378035107637845
67,G,5,0.0846595588806659
68,G#/Ab,5,0.044670918830093366
69,A,5,0.019810665378544017
70,A#/Bb,5,0.01365298953836017
71,B,5,0.027262254827116222
72,C,6,0.0473016161807092
73,C#/Db,6,0.06440102819667252
74,D,6,0.13491873006152333
75,D#/Eb,6,0.36851741861813564
76,E,6,1.0
77,F,6,0.575350508708974
78,F#/Gb,6,0.16925141504902794
79,G,6,0.0723574519277443
80,G#/Ab,6,0.038909557670888266
81,A,6,0.017493354981243808
82,A#/Bb,6,0.014306766819085923
83,B,6,0.03559456414952929
84,C,7,0.05275856604482254
85,C#/Db,7,0.051813045114109585
86,D,7,0.11315408206202554
87,D#/Eb,7,0.3131621464061312
88,E,7,1.0
89,F,7,0.5391100928631035
90,F#/Gb,7,0.14538729352134255
91,G,7,0.06190379369215173
92,G#/Ab,7,0.03288901932881437
93,A,7,0.015138219178582744
94,A#/Bb,7,0.013412838604133087
95,B,7,0.05495419670152116
96,C,8,0.0571328034692844
97,C#/Db,8,0.04300326951380819
98,D,8,0.09738450438939796
99,D#/Eb,8,0.26622294594916895
100,E,8,1.0
101,F,8,0.49844572041316937
102,F#/Gb,8,0.12430356019781431
103,G,8,0.052520970232840046
104,G#/Ab,8,0.028164693627812803
105,A,8,0.0128811694758271
106,A#/Bb,8,0.011459625216780836
107,B,8,0.08018056740048322
108,C,9,0.05817788728625611
109,C#/Db,9,0.03623274136536116
110,D,9,0.08525206307963297
