Note,Mean,Median
A,0.21133796684982417,0.15668317232449958
A#/Bb,0.2434726015412709,0.21321117478470564
B,0.4459702686294508,0.33898778120617784
C,0.4948209114469526,0.3886887330603927
C#/Db,0.3536773547839355,0.3100787661567193
D,0.3410052013267486,0.2698445377147722
D#/Eb,0.39734701674709594,0.3381542991814277
E,0.6083677246081036,0.6311774902201475
F,0.33010603889622203,0.27907947530675087
F#/Gb,0.3434275146972834,0.28689725503160723
G,0.3459361409729237,0.27712370886050725
G#/Ab,0.21032132306035575,0.15271052312956074
