,MIDI Note,Note,Octave,time,value
1437,29,F,2,11,0.10533433128405234
1438,30,F#,2,11,0.11207320211081151
1439,31,G,2,11,0.12030586137087612
1440,32,G#,2,11,0.13091441564644202
1441,33,A,2,11,0.14198876802131838
1442,34,A#,2,11,0.13329804693720676
1443,35,B,2,11,0.10732181449061814
1563,27,D#,2,12,0.10703582260168149
1564,28,E,2,12,0.12107703652289578
1565,29,F,2,12,0.13210597581926
1566,30,F#,2,12,0.14524404440821748
1567,31,G,2,12,0.15948971199055686
1568,32,G#,2,12,0.17891167420993448
1569,33,A,2,12,0.22523220467159544
1570,34,A#,2,12,0.25243578846555986
1571,35,B,2,12,0.23677920565302646
1572,36,C,3,12,0.2008209871031273
1573,37,C#,3,12,0.16405793888153836
1574,38,D,3,12,0.17324933819828656
1575,39,D#,3,12,0.1948593314300704
1576,40,E,3,12,0.20433337542858498
1577,41,F,3,12,0.20688432603450058
1578,42,F#,3,12,0.16124460356652945
1579,43,G,3,12,0.12176700383285151
1690,26,D,2,13,0.1017699259037019
1691,27,D#,2,13,0.12413179336964965
1692,28,E,2,13,0.14250524491373448
1693,29,F,2,13,0.15564764812946463
1694,30,F#,2,13,0.17426492651804518
1695,31,G,2,13,0.19613798555102474
1696,32,G#,2,13,0.22235512284901343
1697,33,A,2,13,0.2995689973002399
1698,34,A#,2,13,0.3937559456333431
1699,35,B,2,13,0.42273985558810095
1700,36,C,3,13,0.3792804937045057
1701,37,C#,3,13,0.2950206733553144
1702,38,D,3,13,0.2661650580909749
1703,39,D#,3,13,0.33391235077589765
1704,40,E,3,13,0.4114919289077165
1705,41,F,3,13,0.48075038406003323
1706,42,F#,3,13,0.48535701694688954
1707,43,G,3,13,0.4325146266783499
1708,44,G#,3,13,0.31610537884360507
1709,45,A,3,13,0.19216545745164948
1818,26,D,2,14,0.1116457244557611
1819,27,D#,2,14,0.13924731746429977
1820,28,E,2,14,0.16089930524013102
1821,29,F,2,14,0.17522010860839332
1822,30,F#,2,14,0.19559773739789274
1823,31,G,2,14,0.22655556694196274
1824,32,G#,2,14,0.26186450371604963
1825,33,A,2,14,0.3496684488555065
1826,34,A#,2,14,0.5315210625541366
1827,35,B,2,14,0.6511784507013122
1828,36,C,3,14,0.6224190158227472
1829,37,C#,3,14,0.4551197823891235
1830,38,D,3,14,0.28594093589279695
1831,39,D#,3,14,0.40968517111815167
1832,40,E,3,14,0.6670434712863849
1833,41,F,3,14,0.8318531766767169
1834,42,F#,3,14,0.9169708404711979
1835,43,G,3,14,0.9106292483571696
1836,44,G#,3,14,0.7312909369776349
1837,45,A,3,14,0.4702170289112618
1838,46,A#,3,14,0.2539570895278746
1839,47,B,3,14,0.15417181265698476
1840,48,C,4,14,0.1926988410973111
1841,49,C#,4,14,0.21055274624147277
1842,50,D,4,14,0.16490787415262817
1946,26,D,2,15,0.11887129600964279
1947,27,D#,2,15,0.15106108447832772
1948,28,E,2,15,0.17450722872100896
1949,29,F,2,15,0.18855543932851707
1950,30,F#,2,15,0.20924314403343677
1951,31,G,2,15,0.24802351972253486
1952,32,G#,2,15,0.2958543135185767
1953,33,A,2,15,0.3713397750754915
1954,34,A#,2,15,0.6399729720587145
1955,35,B,2,15,0.8985735198564008
1956,36,C,3,15,0.910755468073696
1957,37,C#,3,15,0.6441251661425578
1958,38,D,3,15,0.2365507960590452
1959,39,D#,3,15,0.45558646927024515
1960,40,E,3,15,0.9513362605420914
1961,41,F,3,15,1.1852431444650087
1962,42,F#,3,15,1.253099075959162
1963,43,G,3,15,1.3362557560905695
1964,44,G#,3,15,1.2559898357491956
1965,45,A,3,15,0.8396605461912817
1966,46,A#,3,15,0.3824760244625628
1967,47,B,3,15,0.17110202654282972
1968,48,C,4,15,0.26422093618858317
1969,49,C#,4,15,0.6003462307013754
1970,50,D,4,15,0.7705562595671136
1971,51,D#,4,15,0.661135445641538
1972,52,E,4,15,0.44534065410982937
1973,53,F,4,15,0.29373954418320664
1974,54,F#,4,15,0.12452841153461112
1975,55,G,4,15,0.16092671559879282
1976,56,G#,4,15,0.2770784683643021
1977,57,A,4,15,0.30098139668119156
1978,58,A#,4,15,0.24806060785699469
1979,59,B,4,15,0.21039854570975122
1980,60,C,5,15,0.1375176722774652
2074,26,D,2,16,0.12275655783472604
2075,27,D#,2,16,0.15952175275439892
2076,28,E,2,16,0.18199525049387727
