Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.015175718688012006,0.012337658698996652
A,1,21,0.006365619820579822,0.009375416651467211
A,2,33,0.1797107283701426,0.03544889766395505
A,3,45,0.06206045182741555,0.05592019095256981
A,4,57,0.07849630009544166,0.05496200102917873
A,5,69,0.10651720429929051,0.03469690770087411
A,6,81,0.13730235057224358,0.02613761705337289
A,7,93,0.08117931928657207,0.013631196346766804
A,8,105,0.02834272133301354,0.004942786101882367
A,9,117,0.00718911095968257,0.0014465423824599588
A#,0,10,0.013464546034509313,0.012082887906845323
A#,1,22,0.005876305572196264,0.008274162534824573
A#,2,34,0.5058902837096134,0.07707948961848507
A#,3,46,0.10568921519744118,0.056946145379871936
A#,4,58,0.09319308395604778,0.051413033269243305
A#,5,70,0.15904738416575664,0.03236536651664929
A#,6,82,0.15102669650496928,0.023529710454192772
A#,7,94,0.10539571395008639,0.012539597783155486
A#,8,106,0.03232436730036735,0.004566849493978216
A#,9,118,0.006499116184568562,0.0013708990351035746
B,0,11,0.014701364908883463,0.012903433141596275
B,1,23,0.005981334814361039,0.00891606737870179
B,2,35,0.5509670468884997,0.09515430363947382
B,3,47,0.1552144582029944,0.06919622251021444
B,4,59,0.10253581949975626,0.05390402482591179
B,5,71,0.1591396843473678,0.034228367150436104
B,6,83,0.14814968712234858,0.021805947265947128
B,7,95,0.1026473383509031,0.011292787444614108
B,8,107,0.0289884831571149,0.004043771201959838
B,9,119,0.0056734254540992905,0.001345427033566692
C,0,0,0.00953574939182955,0.011995363320142359
C,1,12,0.018427627010367698,0.015201892329161451
C,2,24,0.006400459607209298,0.010659103322178455
C,3,36,0.31462151701835334,0.07435006351787962
C,4,48,0.10608298318832576,0.0521228269391194
C,5,60,0.0727598365823809,0.053188104222527656
C,6,72,0.14013342651203645,0.03685589063657964
C,7,84,0.1071164127517583,0.022215468997512502
C,8,96,0.07015044096530129,0.010228113432045917
C,9,108,0.022036703355023855,0.003613704110507146
C,10,120,0.004905805265445495,0.0012761279861489816
C#,0,1,0.005678705903791184,0.007704039137444314
C#,1,13,0.017407652053615427,0.016091232147342156
C#,2,25,0.006642789880219523,0.009585075205541211
C#,3,37,0.16038976904236504,0.04581455205994888
C#,4,49,0.06956665486787353,0.04915717885743636
C#,5,61,0.05203324162159444,0.05673769776802304
C#,6,73,0.16500139649838408,0.03619980173005359
C#,7,85,0.09599280216267092,0.021788757312061337
C#,8,97,0.0636039628213248,0.009386714347484693
C#,9,109,0.02101332665179704,0.0033020900880936285
C#,10,121,0.0038864611083898656,0.001121889557915498
D,0,2,0.005385074488749449,0.006468672349441649
D,1,14,0.014559108167141179,0.014484011432498346
D,2,26,0.008309482641165853,0.0105428908353347
D,3,38,0.05711870346864416,0.023996019020761133
D,4,50,0.10804706237430088,0.07829886920097533
D,5,62,0.05533219509531934,0.051089736306358456
D,6,74,0.25197441200054727,0.03590673155472387
D,7,86,0.12095685457862872,0.01982718829040665
D,8,98,0.07029244545544336,0.008986147869196937
D,9,110,0.017717752692555544,0.0028411986006737495
D,10,122,0.0033302376530757135,0.0009829103925264719
D#,0,3,0.006071936817283315,0.007070769209285649
D#,1,15,0.009689366427954042,0.009615642036615652
D#,2,27,0.011474389001656237,0.015340777883438865
D#,3,39,0.03669486953641004,0.029569228118728356
D#,4,51,0.15604393324298865,0.08618900787516526
D#,5,63,0.10545991931088326,0.041834940615387124
D#,6,75,0.4375113708828916,0.03454884130512378
D#,7,87,0.1593758322691686,0.018155766397223664
D#,8,99,0.07764422206831663,0.008320517767698743
D#,9,111,0.01762720054477841,0.0026178676452113573
D#,10,123,0.002997670264946539,0.0009194374807562998
E,0,4,0.007153500916662655,0.008027551943179716
E,1,16,0.008103680943905784,0.008319941643698035
E,2,28,0.01061251696096652,0.014930492232958425
E,3,40,0.07888984227078914,0.056410120286248186
E,4,52,0.16834189694040802,0.06949910413844683
E,5,64,0.10020936148603116,0.037242151676085154
E,6,76,0.3391917102984888,0.03506090254947127
E,7,88,0.11357789425594698,0.017346249775101595
E,8,100,0.0527564225284056,0.007583550782206241
E,9,112,0.014613551280616116,0.0024954910835866006
E,10,124,0.0026183329971111993,0.0008928175494131242
F,0,5,0.008585577809918832,0.009195390596307248
F,1,17,0.007071835506121209,0.007634659026470679
F,2,29,0.011694071290740028,0.01557583143013772
F,3,41,0.10652221988763189,0.0721320571153026
F,4,53,0.10745466818992887,0.04710432521207109
F,5,65,0.07385631021948226,0.037047388026873566
F,6,77,0.14308045869613403,0.03467489262906442
F,7,89,0.08292554248803786,0.01613224106212008
F,8,101,0.03963705399593859,0.006662019197954047
F,9,113,0.011911526374355469,0.002350559589626574
F,10,125,0.0023649476276173622,0.0008725248014983458
F#,0,6,0.01246911360436341,0.011478534963495199
F#,1,18,0.006379655232435437,0.006934629657756737
F#,2,30,0.0190343279728257,0.019204383735050512
F#,3,42,0.06494425414297421,0.05558047448518441
F#,4,54,0.08718955093603117,0.04938832314151432
F#,5,66,0.06629744415005938,0.04026663368653226
F#,6,78,0.10915170308222819,0.03140107151918838
F#,7,90,0.07854320951024893,0.015114488386481788
F#,8,102,0.0393073551102302,0.006039238481069478
F#,9,114,0.011251018763021902,0.0020866996778834642
F#,10,126,0.0019986655690215306,0.000791048920879612
G,0,7,0.013576798110011872,0.0116774783418408
G,1,19,0.006584855577311892,0.007419975099665177
G,2,31,0.027297100302244887,0.01980730479657117
G,3,43,0.043778082878316554,0.06571317034908815
G,4,55,0.08757494374617393,0.055008660986999115
G,5,67,0.08186127189433184,0.04344416854841649
G,6,79,0.1620645136678984,0.028465830726983634
G,7,91,0.07616075714584347,0.01388922224004602
G,8,103,0.03557018637810728,0.005642259258096593
G,9,115,0.008401543696265794,0.001697425413188131
G,10,127,0.0017200111714313802,0.0007533966605824033
G#,0,8,0.015379126340340972,0.011706488110709182
G#,1,20,0.007358540333680333,0.009459700116731981
G#,2,32,0.03933548230034854,0.02117279157810598
G#,3,44,0.04542633523639564,0.0653033162579703
G#,4,56,0.08976383560507424,0.05714410988160887
G#,5,68,0.11614597023613996,0.04102448899680403
G#,6,80,0.19440646428547648,0.02606820174979989
G#,7,92,0.09037165933006142,0.013286816131814027
G#,8,104,0.03512148157271117,0.005266696572080814
G#,9,116,0.007172861396696699,0.0015407206392204836
