Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.010866848231337715,0.027521865767437696
A,1,21,0.00230589322234524,0.02331535700458846
A,2,33,0.001518757281233303,0.03152218157258868
A,3,45,0.32952536185773285,0.09700436850092847
A,4,57,1.2761533598150148,0.12165115724818061
A,5,69,0.2895840043148254,0.09489020090469047
A,6,81,0.11015179362561232,0.05620030385368787
A,7,93,0.017464107067204485,0.017141047807782712
A,8,105,0.01025226656098266,0.010464701724598551
A,9,117,0.0014813428338469842,0.002593727303358754
A#,0,10,0.010335006212067456,0.026563306487058954
A#,1,22,0.001954618924500161,0.025174037659697987
A#,2,34,0.0015524508453727223,0.03630665431474859
A#,3,46,0.5636951328860322,0.09471095502562854
A#,4,58,1.036534546037672,0.14278436573897427
A#,5,70,0.2802014578360882,0.08548653385276372
A#,6,82,0.0957470505583562,0.04846354970493817
A#,7,94,0.020739514999994612,0.017471627873050344
A#,8,106,0.009438994392665243,0.009300620931685074
A#,9,118,0.0011447081006780496,0.0018659569896929396
B,0,11,0.008663381309295054,0.026447342193610796
B,1,23,0.0018260866703390306,0.028549005420626754
B,2,35,0.001819799741946448,0.043302661749422156
B,3,47,0.5146229537172773,0.08762452286981438
B,4,59,0.4668072789631756,0.12103113433173682
B,5,71,0.16721365587791132,0.07217775862839988
B,6,83,0.056410708612455396,0.041564742364448556
B,7,95,0.01671169856260594,0.018727183131746403
B,8,107,0.008474533889085901,0.007916800882441241
B,9,119,0.000925104136070042,0.0014610326482323718
C,0,0,0.015346931827863,0.02366736997298201
C,1,12,0.00744467717524281,0.026210971022373287
C,2,24,0.0015506637936254304,0.02931772173991367
C,3,36,0.002441093242600791,0.05496964603355707
C,4,48,0.5079539881430191,0.08848229949080973
C,5,60,0.41825203814209405,0.11549248169880788
C,6,72,0.20561137900602863,0.07116000400890024
C,7,84,0.07564585045417802,0.04156653605641169
C,8,96,0.01864080013638943,0.019616702216717626
C,9,108,0.007408047323458731,0.007206017134427831
C,10,120,0.0008607709828992055,0.0013759913425203545
C#,0,1,0.01438956983891532,0.024392095642259172
C#,1,13,0.007181390416041472,0.026647244587911324
C#,2,25,0.0011513997882172697,0.028330399239667906
C#,3,37,0.0033721339392513245,0.06869286486987426
C#,4,49,0.529991333271017,0.0693965058227891
C#,5,61,0.4515632050690023,0.12049462827228874
C#,6,73,0.20663292994858506,0.06692737296613979
C#,7,85,0.07335551818978218,0.03943944153914214
C#,8,97,0.01821827802770078,0.01915998622984901
C#,9,109,0.007051660769694421,0.007100142690831441
C#,10,121,0.0009302350239554563,0.0015067169927623176
D,0,2,0.01710734723144221,0.025863486678505312
D,1,14,0.00629091687786992,0.025592020797763067
D,2,26,0.0009032287384999223,0.028044136526349298
D,3,38,0.0043123241157831315,0.0758904058131915
D,4,50,1.054661523924707,0.062109846046932544
D,5,62,0.46651317668397496,0.1164176669619621
D,6,74,0.2241071057775661,0.06211735167957064
D,7,86,0.050342874321351226,0.03387539664668731
D,8,98,0.01899836858556611,0.01801787407699123
D,9,110,0.006441134514194409,0.0066340716876926486
D,10,122,0.0010594507922898513,0.0017259867967450886
D#,0,3,0.018139323403709145,0.027349242724275382
D#,1,15,0.005715249036164657,0.023736809487808475
D#,2,27,0.0007621805249913446,0.026842202141673058
D#,3,39,0.00533417945808951,0.07715203603489076
D#,4,51,1.1838410165184758,0.06499554276254395
D#,5,63,0.3961964918169507,0.120553480930626
D#,6,75,0.21312943291031058,0.061814649428172906
D#,7,87,0.03725947681822786,0.028071819725694554
D#,8,99,0.019507421371754635,0.016261119877901485
D#,9,111,0.005629996936036179,0.00613352165107677
D#,10,123,0.001184153929080314,0.0019288479933741638
E,0,4,0.014302940741986871,0.026180484896672337
E,1,16,0.0050460034965358605,0.024403127027159313
E,2,28,0.0006768336144351591,0.025606103931600795
E,3,40,0.007429731099446328,0.07925313414971945
E,4,52,1.0975381577060115,0.07297158783590711
E,5,64,0.2617295638288856,0.13224377258158246
E,6,76,0.15582203719211857,0.059712901908785185
E,7,88,0.02662277139020217,0.02612718087856039
E,8,100,0.015090015814428018,0.014243007616793186
E,9,112,0.004420768986682343,0.0058579673233819
E,10,124,0.0012659965613369367,0.0022565844884910647
F,0,5,0.013072967920852033,0.025337450854632192
