Note,Octave,MIDI Note,Mean,Median
A,0,9,0.0029201576939207226,0.0017984133332463864
A,1,21,0.01424337438052205,0.009578742837675526
A,2,33,0.942044952992626,0.42820454265397256
A,3,45,1.4269292906045496,0.22103370969832456
A,4,57,0.09993122351793227,0.062368033417200375
A,5,69,0.08834824786640307,0.043783553479973605
A,6,81,0.13602430963522205,0.10083704634190804
A,7,93,0.05235497699501595,0.02584678186650061
A,8,105,0.027027877234515125,0.017851279702107307
A,9,117,0.00724948141102199,0.005221201456106069
A#,0,10,0.003442237552586041,0.002038068118479582
A#,1,22,0.019138144404779865,0.012357042420199933
A#,2,34,1.3504229561145242,0.5394212515219783
A#,3,46,1.0142174571028943,0.25553390900603973
A#,4,58,0.05808548793019238,0.04879138377537796
A#,5,70,0.11085008218554976,0.04480206739644345
A#,6,82,0.08151265619213784,0.05141150010614808
A#,7,94,0.06825377314256517,0.03192966321758282
A#,8,106,0.031830329314435295,0.022504250890887496
A#,9,118,0.006676221805361871,0.00493647178691586
B,0,11,0.003841162399331336,0.002177832725901125
B,1,23,0.024217155306782003,0.014462751378117358
B,2,35,1.6301791026805663,0.9824992529632102
B,3,47,0.8139378468965836,0.317912294908375
B,4,59,0.05016989622200543,0.025152246268912277
B,5,71,0.16089491004869724,0.0859681170038652
B,6,83,0.08677374476999174,0.05477992843021283
B,7,95,0.054535942522983175,0.031021197324164616
B,8,107,0.031143995896545363,0.02126429912648775
B,9,119,0.0055763302845324506,0.004006380599949114
C,0,0,0.0035941200502057633,0.0031300057608149865
C,1,12,0.0042692962376068575,0.002419698512070473
C,2,24,0.0312094964157701,0.01910200078187103
C,3,36,1.7860723841588013,0.7446045044339685
C,4,48,0.6692501906345393,0.2171966960240547
C,5,60,0.09433600712696862,0.026975511489705003
C,6,72,0.3101624204962019,0.11613575432586337
C,7,84,0.13914753241326785,0.07043128011784419
C,8,96,0.048666434688855974,0.026768388594446225
C,9,108,0.026168988150272063,0.01720999392122682
C,10,120,0.004971965143591084,0.003511560724902776
C#,0,1,0.002508775159858466,0.0021740427004994923
C#,1,13,0.004796520953239796,0.0030911355323782527
C#,2,25,0.0420955439426616,0.028213264712304616
C#,3,37,1.7306768905729026,0.6200488359387382
C#,4,49,0.484055945627109,0.07981824102019029
C#,5,61,0.0951756498008967,0.029507754020119854
C#,6,73,0.3462204697461451,0.1875768077659318
C#,7,85,0.13491079648939835,0.06688739975822854
C#,8,97,0.04876563245449138,0.03108498703699454
C#,9,109,0.020745409035666247,0.013091795867137141
C#,10,121,0.004875096924882209,0.003386764619621664
D,0,2,0.0021673411723368355,0.0016914073897106778
D,1,14,0.004839948848369646,0.003337506485935854
D,2,26,0.06474037330317096,0.044084728713762684
D,3,38,1.3940534090912284,0.5506827447705492
D,4,50,0.28530506242359943,0.09028341839039072
D,5,62,0.09006307390765896,0.027344298114264285
D,6,74,0.4563860719690004,0.270236728773048
D,7,86,0.12334413901001816,0.06774221996478572
D,8,98,0.0770044201180261,0.05066126084467196
D,9,110,0.017345235612585667,0.011811530072183564
D,10,122,0.004697204792111314,0.003086195130968763
D#,0,3,0.002315717562368533,0.0014868754300224702
D#,1,15,0.005359949407819171,0.003673484749317809
D#,2,27,0.12137884058636371,0.0761822887161243
D#,3,39,1.691275001491264,0.6665970247738446
D#,4,51,0.2330033962135691,0.11194816525281037
D#,5,63,0.0966891997828518,0.022966616110172967
D#,6,75,0.6335174925725302,0.43352990316104206
D#,7,87,0.12489660884089805,0.07184324500940471
