Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0034655644531638966,0.037764701823660735
A,1,21,0.019455555362426186,0.036638968108675216
A,2,33,2.040535814108536,0.2486184418384188
A,3,45,0.6244749947540273,0.20402976278170842
A,4,57,0.06384255934678444,0.15265962202916447
A,5,69,0.24150239042082816,0.12043137008032513
A,6,81,0.12778390107239448,0.06445273048097797
A,7,93,0.06656007775009318,0.0417372834027969
A,8,105,0.02205921221098612,0.0191787618770475
A,9,117,0.011233965868159532,0.017951691268515754
A#,0,10,0.003874192804706827,0.031185733026724206
A#,1,22,0.022407799692450544,0.041225031678795834
A#,2,34,1.7911939505408363,0.3513267828029935
A#,3,46,0.3670617077856985,0.22191409829903352
A#,4,58,0.079985972226501,0.135895543422156
A#,5,70,0.28349131437796526,0.11666868916335195
A#,6,82,0.20545185880824832,0.05549597720557828
A#,7,94,0.11098240995225844,0.03820773257890375
A#,8,106,0.03416379528059805,0.020412286438045123
A#,9,118,0.009055935104094873,0.01651187187639534
B,0,11,0.004658904259724651,0.04134097248334897
B,1,23,0.025837066271203673,0.03899320288396095
B,2,35,2.384579424679191,0.5108891213659855
B,3,47,0.3230160504006899,0.24171141893995501
B,4,59,0.09645961209041186,0.14927103477741432
B,5,71,0.21603699311563548,0.1091759677253541
B,6,83,0.1606295037111341,0.05068377858871856
B,7,95,0.09134607513068274,0.03615580478303767
B,8,107,0.024973766330484665,0.019385438288921877
B,9,119,0.008588888685289557,0.015600284037294208
C,0,0,0.0033238749481546825,0.04982498092929367
C,1,12,0.004588042191968396,0.0371772718201666
C,2,24,0.03181797091914179,0.03980313568269046
C,3,36,2.717064171586427,0.6017912625065693
C,4,48,0.2414442471332395,0.33917863422970035
C,5,60,0.07939975444475163,0.14850175554271577
C,6,72,0.15483788661759065,0.09880627527385043
C,7,84,0.06452621415691061,0.0509880764676191
C,8,96,0.04096523175667102,0.03359796438234694
C,9,108,0.016749344418107003,0.018705457699290943
C,10,120,0.008603431254430093,0.015386085395045736
C#,0,1,0.0034953264575766207,0.03273587690669712
C#,1,13,0.0052486855203094695,0.03283311013335164
C#,2,25,0.051154079901319115,0.0512070421975705
C#,3,37,2.275074057567304,0.543765010385235
C#,4,49,0.18054472965121582,0.37214325190234626
C#,5,61,0.08378160443406427,0.1310037890863217
C#,6,73,0.2855227972805544,0.0958442918615815
C#,7,85,0.07250817529686095,0.05224588088648161
C#,8,97,0.03439619454234276,0.030886474629021304
C#,9,109,0.019846725847401582,0.018401225811515744
C#,10,121,0.007046987061268309,0.012483638163206913
D,0,2,0.0058419458908660574,0.03048495669665689
D,1,14,0.005892956462506896,0.04199095789714346
D,2,26,0.07986119756144675,0.07855826343022719
D,3,38,1.392324629644927,0.3577051497047399
D,4,50,0.20021996316436297,0.3842613560333671
D,5,62,0.17821861634092767,0.116121705874289
D,6,74,0.2733289547681542,0.08807882882345174
D,7,86,0.07861035853475816,0.04799993603818274
D,8,98,0.035576750439054235,0.02948405177162045
D,9,110,0.01830601355524183,0.018472193874788535
D,10,122,0.005987151285942097,0.009484967144618339
D#,0,3,0.006498716383277249,0.033231715953967685
D#,1,15,0.006683910737930151,0.03245675391852721
D#,2,27,0.12728956066455685,0.12683287363131582
D#,3,39,1.1532251478981046,0.27110526483889674
D#,4,51,0.273480628555342,0.42739340173994683
D#,5,63,0.2835893614538999,0.12738380180288142
D#,6,75,0.20808989600997968,0.08149262496081587
D#,7,87,0.1248029673354913,0.043108069385758854
D#,8,99,0.04049641800545755,0.02980845488177757
D#,9,111,0.015054938541697193,0.017969528010817352
D#,10,123,0.006869544988306148,0.009662592551741105
E,0,4,0.004170860820397882,0.05018392478442462
E,1,16,0.008098443402210912,0.04035528684200128
E,2,28,0.25745872650637625,0.1774085191585767
E,3,40,1.0402607242668283,0.3030814220319059
E,4,52,0.20576569464350106,0.30779964428458206
E,5,64,0.17967393173950952,0.10793500373619697
E,6,76,0.15820176207859657,0.07897837736552547
E,7,88,0.09973101133994498,0.045329091249900866
E,8,100,0.03438837302973031,0.03130088687565296
E,9,112,0.024646504746158645,0.01995472923380222
E,10,124,0.005890904359554173,0.008763442684393857
F,0,5,0.0035505559697807604,0.04349558436549193
F,1,17,0.008867855356477456,0.03521768084649912
F,2,29,0.4470748873622327,0.21982381234792034
F,3,41,0.6190530776922498,0.3008368395834524
F,4,53,0.09935307166438997,0.2631655160123658
F,5,65,0.07714800808978599,0.0988519845935636
F,6,77,0.11326906389495985,0.07283863444611716
F,7,89,0.08436678641539491,0.0464676609415159
F,8,101,0.035019884355931175,0.028043369924501783
F,9,113,0.030541756347650495,0.023006361541119284
F,10,125,0.006295228704355631,0.006601526556556672
F#,0,6,0.004495070615737191,0.03161733610416001
F#,1,18,0.011144932356463895,0.03680318595285701
F#,2,30,0.6755806919284842,0.24986523719515757
F#,3,42,0.4106512165191508,0.25270405906593274
F#,4,54,0.084424025372078,0.227232072803169
F#,5,66,0.10339128484236694,0.10184297036886912
F#,6,78,0.11408911759386074,0.07324451996546714
F#,7,90,0.09029624663783878,0.046949865119413035
F#,8,102,0.029846155131259752,0.02356525791561762
F#,9,114,0.016344826935255526,0.019927995421132917
F#,10,126,0.005425930019813553,0.005795609569301205
G,0,7,0.005542182881459624,0.03253783053955004
G,1,19,0.012993192402124598,0.03348229292242729
G,2,31,1.2927287077021337,0.2739174311184983
G,3,43,0.47043048632371404,0.1809229877563478
G,4,55,0.07195884300402398,0.17803022965933837
G,5,67,0.16459791347222222,0.09875390994223911
G,6,79,0.09421796944714504,0.07518130440334682
G,7,91,0.07239657173233549,0.04632822469289843
G,8,103,0.018919456244769418,0.020319576819849746
G,9,115,0.009662725256008602,0.016793407162441747
G,10,127,0.0035343465718882558,0.005408016836532144
G#,0,8,0.004161516134111084,0.04500896220071762
G#,1,20,0.01800576997103679,0.0366762973798339
G#,2,32,2.0748558970753503,0.2686944427389972
G#,3,44,0.7490961011530866,0.18735928346344452
G#,4,56,0.06931336720510085,0.18703087513327193
G#,5,68,0.2658268461054498,0.1267921964240799
G#,6,80,0.11822722032551748,0.06969587978119066
G#,7,92,0.06951872630471505,0.044803472330901525
G#,8,104,0.01994980151126216,0.01868320186133312
G#,9,116,0.01011120944372813,0.017280964630990478
