Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0011476451683883908,0.030386050347428476
A,1,21,0.005471434232216358,0.030752386642469903
A,2,33,0.6765860138705627,0.10464072947795797
A,3,45,0.5526512835510269,0.503467709538986
A,4,57,0.43863796428125185,0.15365266989326162
A,5,69,0.30974579842672884,0.09116690702460822
A,6,81,0.21362993469066724,0.04555281506740078
A,7,93,0.05343205941614563,0.05892761097198498
A,8,105,0.0235583114575719,0.03872210144299851
A,9,117,0.008203941717005156,0.026177791072249563
A#,0,10,0.0009917995601419552,0.029515001848570737
A#,1,22,0.005907674452715439,0.03147253619519779
A#,2,34,0.3264996279390969,0.10191752359892106
A#,3,46,0.3106062347447918,0.45672602530714945
A#,4,58,0.1683470726027688,0.16198860316341426
A#,5,70,0.30164769845649225,0.09069717493582075
A#,6,82,0.08782531250916897,0.04578495159630737
A#,7,94,0.05183413418641907,0.0574214334768617
A#,8,106,0.0220035385653803,0.03819935487109546
A#,9,118,0.007233030956224114,0.020885836076422443
B,0,11,0.0012135185886706936,0.028596869063185953
B,1,23,0.006786506123759087,0.035583766756899615
B,2,35,0.21011234907582824,0.10505714072706002
B,3,47,0.2853936923217437,0.43722334295031157
B,4,59,0.13052716712701132,0.18422172416371718
B,5,71,0.31161421620283464,0.09680471128103173
B,6,83,0.10452191089541704,0.04476612639680201
B,7,95,0.05079760920636965,0.05074652466690924
B,8,107,0.019395866769871675,0.03674175943737864
B,9,119,0.007072949305537308,0.018323823789762474
C,0,0,0.001065951591186238,0.03246835763163677
C,1,12,0.001556450609209436,0.029022278131335344
C,2,24,0.007870674193417873,0.03871156518317456
C,3,36,0.4156847826894014,0.12220548028720007
C,4,48,0.3863697505615661,0.48525143949123484
C,5,60,0.1154916984489586,0.1785485346703603
C,6,72,0.21540938434346552,0.08370903090575674
C,7,84,0.08177750345666848,0.045246664497565314
C,8,96,0.03603374389625361,0.04671698224927905
C,9,108,0.01615127614530203,0.03758072477487047
C,10,120,0.006698596573827486,0.018390481255428703
C#,0,1,0.0010195568936960336,0.02949649734786354
C#,1,13,0.0019713467229140608,0.029983618616261896
C#,2,25,0.010385563834559994,0.04281835317805518
C#,3,37,0.9449851921465254,0.15724236695449728
C#,4,49,0.6382528079754388,0.42419922443888763
C#,5,61,0.17234507633345597,0.17393811398012518
C#,6,73,0.3902502258148471,0.08335308225255963
C#,7,85,0.08942249623422428,0.047948777362356206
C#,8,97,0.049137929205345834,0.04872460389980127
C#,9,109,0.01682735537672596,0.03650451047383706
C#,10,121,0.005389580124220664,0.01701715845376971
D,0,2,0.000984351217425963,0.02867741593359896
D,1,14,0.002417812980571419,0.03146934223386698
D,2,26,0.015029336823637869,0.045822675462670194
D,3,38,1.3561125371379317,0.19191923669772545
D,4,50,0.5017963767001932,0.3571718101930258
D,5,62,0.14518192016801307,0.16566388458328585
D,6,74,0.38464357845749,0.08211509181399593
D,7,86,0.09682810682638456,0.04999390659336372
D,8,98,0.04564466048711269,0.051325765516492296
D,9,110,0.015540090766220345,0.03371062451733695
D,10,122,0.00430813930978828,0.015500152823843276
D#,0,3,0.0010386292841590675,0.030645575108301078
D#,1,15,0.003049704831177797,0.029742878812524985
D#,2,27,0.02260864081791829,0.05255586776462785
D#,3,39,2.0455414345241385,0.29157022849770886
D#,4,51,0.2758532141528761,0.2943995691537558
D#,5,63,0.11328242628197166,0.14783616178838432
D#,6,75,0.42684753798834474,0.08118016595420759
D#,7,87,0.1596531713513136,0.04731008618551623
D#,8,99,0.0411013543374894,0.04541754343540736
