Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0029201576939207226,0.03343212190484499
A,1,21,0.01424337438052205,0.04321509866232434
A,2,33,0.942044952992626,0.4455732587603807
A,3,45,1.4269292906045496,0.6041018254726843
A,4,57,0.09993122351793227,0.25142505859770437
A,5,69,0.08834824786640307,0.11076628427715397
A,6,81,0.13602430963522205,0.07713526398809771
A,7,93,0.05235497699501595,0.03613228192098973
A,8,105,0.027027877234515125,0.03259444200684403
A,9,117,0.00724948141102199,0.012464697277417919
A#,0,10,0.003442237552586041,0.03477664441482592
A#,1,22,0.019138144404779865,0.049033133408188934
A#,2,34,1.3504229561145242,0.5195791126539284
A#,3,46,1.0142174571028943,0.6261603184770997
A#,4,58,0.05808548793019238,0.2657043665828351
A#,5,70,0.11085008218554976,0.10984960930960659
A#,6,82,0.08151265619213784,0.07996823217018148
A#,7,94,0.06825377314256517,0.03366324516802902
A#,8,106,0.031830329314435295,0.033791764100404124
A#,9,118,0.006676221805361871,0.011843098038416282
B,0,11,0.003841162399331336,0.0316777944690514
B,1,23,0.024217155306782003,0.05756038435332792
B,2,35,1.6301791026805663,0.5775048287821402
B,3,47,0.8139378468965836,0.6146235988450663
B,4,59,0.05016989622200543,0.25638040049695504
B,5,71,0.16089491004869724,0.10245046555820225
B,6,83,0.08677374476999174,0.07794525057372474
B,7,95,0.054535942522983175,0.03322581210914632
B,8,107,0.031143995896545363,0.033347198382965605
B,9,119,0.0055763302845324506,0.011116155436614455
C,0,0,0.0035941200502057633,0.027420670012922997
C,1,12,0.0042692962376068575,0.035031335998508474
C,2,24,0.0312094964157701,0.059988994170722024
C,3,36,1.7860723841588013,0.5790931999780898
C,4,48,0.6692501906345393,0.5966234534840514
C,5,60,0.09433600712696862,0.23031021820977862
C,6,72,0.3101624204962019,0.1054431536063569
C,7,84,0.13914753241326785,0.06962473521288517
C,8,96,0.048666434688855974,0.03263338609545942
C,9,108,0.026168988150272063,0.03061643281288518
C,10,120,0.004971965143591084,0.010134416708323137
C#,0,1,0.002508775159858466,0.02863620254762502
C#,1,13,0.004796520953239796,0.03680562351344392
C#,2,25,0.0420955439426616,0.06605386417532377
C#,3,37,1.7306768905729026,0.5737998780037276
C#,4,49,0.484055945627109,0.5640290724342767
C#,5,61,0.0951756498008967,0.1956342146368643
C#,6,73,0.3462204697461451,0.11791349623986058
C#,7,85,0.13491079648939835,0.0622944481995476
C#,8,97,0.04876563245449138,0.033895307717097894
C#,9,109,0.020745409035666247,0.025418127381189287
C#,10,121,0.004875096924882209,0.009539228170477473
D,0,2,0.0021673411723368355,0.026469568101441732
D,1,14,0.004839948848369646,0.030094665048061624
D,2,26,0.06474037330317096,0.08565991061656293
D,3,38,1.3940534090912284,0.5241443157061382
D,4,50,0.28530506242359943,0.5468360254207069
D,5,62,0.09006307390765896,0.17690408462241924
D,6,74,0.4563860719690004,0.11479045183004571
D,7,86,0.12334413901001816,0.058716865710283776
D,8,98,0.0770044201180261,0.03421256236042401
D,9,110,0.017345235612585667,0.023361867216674752
D,10,122,0.004697204792111314,0.008832078985242664
D#,0,3,0.002315717562368533,0.036759972279849486
D#,1,15,0.005359949407819171,0.030650853573307192
D#,2,27,0.12137884058636371,0.11513323244520965
D#,3,39,1.691275001491264,0.5214918760408795
D#,4,51,0.2330033962135691,0.5379286367845914
D#,5,63,0.0966891997828518,0.15370827225912384
D#,6,75,0.6335174925725302,0.10512862215527856
D#,7,87,0.12489660884089805,0.05620977932560283
D#,8,99,0.06726210228967928,0.0337109691302299
D#,9,111,0.017503255390160424,0.02392070578591295
D#,10,123,0.004693803763897222,0.00823182967211337
E,0,4,0.0031454190056603316,0.03536453919948699
E,1,16,0.006824417402593817,0.03622655557246075
E,2,28,0.27488626082490725,0.18992377898939927
E,3,40,2.0901227855903204,0.536023405411411
E,4,52,0.1856117839716615,0.4676756860845762
E,5,64,0.08037000627417402,0.1460227839619237
E,6,76,0.3977010362966853,0.0972135109775855
E,7,88,0.07552496327662923,0.05233096134857091
E,8,100,0.03955373284710183,0.0370094173203327
E,9,112,0.01840621389607495,0.024113692975389758
E,10,124,0.004672287212690373,0.008284598777649628
F,0,5,0.003439732522515764,0.03033844350899397
F,1,17,0.007448473357765096,0.03540639924654096
F,2,29,0.42972385377611644,0.25648613265111136
F,3,41,2.3468636239277583,0.5098882006115188
F,4,53,0.1688572304005713,0.39686022054873354
F,5,65,0.11147183179520676,0.1520294084862557
F,6,77,0.17265467208033508,0.09669833122806791
F,7,89,0.07026054452226463,0.05246827374120615
F,8,101,0.043102736460454975,0.04075782595731421
F,9,113,0.017914394682426973,0.02203284619945875
F,10,125,0.004249092376908661,0.007711859202482036
F#,0,6,0.0027834320925508196,0.030215166728096456
F#,1,18,0.007764596950538298,0.0338334508004505
F#,2,30,0.623472380642732,0.3410912498960532
F#,3,42,1.9762353152375465,0.4948754164204566
F#,4,54,0.1291667022923105,0.33802013552122545
F#,5,66,0.1540111965333987,0.14004960236106342
F#,6,78,0.27266004140835737,0.09535768331487579
F#,7,90,0.06571403042425698,0.04901153203132832
F#,8,102,0.035704091708237816,0.04189835479287724
